,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,TD,Lng,Y/A,Y/G,Fmb,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG,Rec,ReceivingYds
0,DerrickHenry,TEN,26,RB,16,16,378,2027,98.0,954,2.5,1073,2.8,34,11.1,17.0,94.0,5.4,126.7,3.0,TEN,61.0,44.0,56.0,bye,34,45,42,33,29,38,55,46.0,40,42.0,43.0,39.0,58.0,705.0,44.1,19.0,114.0
1,DalvinCook,MIN,25,RB,14,14,312,1557,91.0,801,2.6,756,2.4,33,9.5,16.0,70.0,5.0,111.2,5.0,MIN,30.0,43.0,48.0,49,36,0,bye,46,38,59,52,46.0,79,54.0,52.0,37.0,0.0,669.0,47.8,44.0,361.0
2,JoshJacobs,LVR,22,RB,15,15,273,1065,61.0,525,1.9,540,2.0,20,13.7,12.0,28.0,3.9,71.0,2.0,LV,49.0,53.0,35.0,52,45,bye,32,48,29,43,44,38.0,0,29.0,52.0,32.0,38.0,619.0,41.3,33.0,238.0
3,DavidMontgomery,CHI,23,RB,15,14,247,1070,59.0,480,1.9,590,2.4,29,8.5,8.0,80.0,4.3,71.3,1.0,CHI,29.0,35.0,46.0,53,51,56,0,59,50,0,bye,58.0,52,40.0,56.0,60.0,62.0,707.0,50.5,54.0,438.0
4,EzekielElliott,DAL,25,RB,15,15,244,979,62.0,458,1.9,521,2.1,15,16.3,6.0,31.0,4.0,65.3,6.0,DAL,63.0,63.0,80.0,63,54,54,38,62,48,bye,46,39.0,50,32.0,0.0,37.0,48.0,777.0,51.8,52.0,338.0
5,JamesRobinson,JAX,22,RB,14,14,240,1070,54.0,455,1.9,615,2.6,16,15.0,7.0,47.0,4.5,76.4,3.0,JAC,35.0,38.0,30.0,52,43,19,57,bye,50,53,41,63.0,60,40.0,36.0,0.0,0.0,617.0,44.1,49.0,344.0
6,KenyanDrake,ARI,26,RB,15,13,239,955,59.0,549,2.3,406,1.7,16,14.9,10.0,69.0,4.0,63.7,3.0,ARI,58.0,50.0,44.0,37,50,42,34,bye,0,38,33,41.0,29,44.0,34.0,52.0,29.0,615.0,41.0,25.0,137.0
7,JonathanTaylor,IND,21,RB,15,13,232,1169,69.0,690,3.0,479,2.1,15,15.5,11.0,62.0,5.0,77.9,1.0,IND,27.0,49.0,24.0,33,31,37,bye,26,21,17,46,0.0,33,34.0,38.0,40.0,55.0,511.0,34.1,36.0,299.0
8,MelvinGordon,DEN,27,rb,15,10,215,986,46.0,530,2.5,456,2.1,16,13.4,9.0,65.0,4.6,65.7,4.0,DEN,37.0,61.0,39.0,56,bye,0,46,36,44,40,34,35.0,35,28.0,34.0,51.0,51.0,627.0,41.8,32.0,158.0
9,AaronJones,GNB,26,RB,14,14,201,1104,52.0,512,2.5,592,2.9,14,14.4,9.0,77.0,5.5,78.9,2.0,GB,42.0,35.0,44.0,33,bye,36,0,0,40,41,30,38.0,40,47.0,56.0,25.0,32.0,539.0,38.5,47.0,355.0
