,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,TD,Lng,Y/A,Y/G,Fmb,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG,Rec,ReceivingYds
21,LamarJackson,BAL,23,QB,15,15,159,1005,56.0,800,5.0,205,1.3,8,19.9,7.0,50.0,6.3,67.0,10.0,BAL,53.0,65.0,56.0,47,62,73,bye,82,64,66,65,0.0,55,49.0,55.0,68.0,57.0,917.0,61.1,,
22,AdrianPeterson,DET,35,rb,16,10,156,604,34.0,346,2.2,258,1.7,11,14.2,7.0,38.0,3.9,37.8,0.0,DET,24.0,15.0,39.0,27,bye,12,18,12,20,7,17,22.0,32,16.0,16.0,6.0,15.0,298.0,18.6,12.0,101.0
23,DevinSingletary,BUF,23,RB,16,16,156,687,40.0,238,1.5,449,2.9,9,17.3,2.0,51.0,4.4,42.9,1.0,BUF,51.0,34.0,55.0,54,46,40,40,28,31,34,bye,25.0,62,30.0,39.0,35.0,18.0,622.0,38.9,38.0,269.0
24,WayneGallman,NYG,26,rb,15,10,147,682,35.0,320,2.2,362,2.5,10,14.7,6.0,60.0,4.6,45.5,1.0,NYG,3.0,0.0,18.0,10,12,4,32,32,44,42,bye,51.0,28,27.0,23.0,32.0,33.0,391.0,26.1,21.0,114.0
25,DavidJohnson,HOU,29,RB,12,12,147,691,38.0,402,2.7,289,2.0,7,21.0,6.0,48.0,4.7,57.6,2.0,HOU,48.0,56.0,45.0,36,45,55,54,bye,7,0,0,0.0,37,0.0,55.0,50.0,62.0,550.0,45.8,33.0,314.0
26,LataviusMurray,NOR,30,ss,15,7,146,656,36.0,363,2.5,293,2.0,4,36.5,4.0,36.0,4.5,43.7,1.0,NO,23.0,16.0,21.0,29,21,bye,23,18,29,24,33,30.0,32,20.0,16.0,29.0,0.0,364.0,24.3,23.0,176.0
27,CamAkers,LAR,21,rb,13,5,145,625,26.0,321,2.2,304,2.1,6,24.2,2.0,61.0,4.3,48.1,1.0,LAR,24.0,3.0,0.0,0,13,1,0,20,bye,18,12,17.0,52,50.0,36.0,0.0,48.0,294.0,24.5,11.0,123.0
28,GusEdwards,BAL,25,rb,16,6,144,723,45.0,334,2.3,389,2.7,11,13.1,6.0,36.0,5.0,45.2,1.0,BAL,15.0,20.0,13.0,22,25,33,bye,26,24,15,13,27.0,18,16.0,27.0,34.0,19.0,347.0,21.7,9.0,129.0
29,MylesGaskin,MIA,23,rb,10,7,142,584,27.0,297,2.1,287,2.0,6,23.7,3.0,26.0,4.1,58.4,2.0,MIA,40.0,49.0,46.0,47,42,39,bye,43,0,0,0,0.0,50,0.0,0.0,48.0,51.0,455.0,45.5,41.0,388.0
30,ChrisCarson,SEA,26,RB,12,12,141,681,43.0,375,2.7,306,2.2,10,14.1,5.0,29.0,4.8,56.8,1.0,SEA,28.0,40.0,45.0,35,31,bye,15,0,0,0,0,25.0,42,33.0,40.0,40.0,30.0,404.0,33.7,37.0,287.0
31,DarrellHenderson,LAR,23,RB,15,11,138,624,40.0,342,2.5,282,2.0,8,17.3,5.0,40.0,4.5,41.6,0.0,LAR,5.0,29.0,34.0,22,29,32,0,18,bye,23,33,20.0,17,7.0,7.0,31.0,0.0,307.0,21.9,16.0,159.0
32,DamienHarris,NWE,23,rb,10,10,137,691,30.0,429,3.1,262,1.9,12,11.4,2.0,41.0,5.0,69.1,1.0,NE,0.0,0.0,0.0,0,bye,12,21,20,28,32,26,34.0,33,22.0,0.0,0.0,0.0,228.0,25.3,5.0,52.0
