,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
292,NateSudfeld,PHI,27,,1,0,2,12,1.0,12,6.0,0,0.0,0,
293,GregWard,PHI,25,wr,16,10,2,-4,0.0,-4,-2.0,0,0.0,0,
294,DexterWilliams,GNB,23,,3,0,2,8,,7,3.5,1,0.5,0,
295,ShawnWilliams,CIN,29,,13,0,2,46,2.0,46,23.0,0,0.0,0,
296,IsaiahZuber,NWE,23,,4,0,2,21,2.0,19,9.5,2,1.0,0,
297,JordanAkins,HOU,28,te,13,5,1,4,1.0,0,0.0,4,4.0,1,1.0
298,KeenanAllen,LAC,28,WR,14,13,1,-1,0.0,-1,-1.0,0,0.0,0,
299,DannyAmendola,DET,35,wr,14,5,1,2,1.0,2,2.0,0,0.0,0,
300,BlakeBell,DAL,29,te,16,2,1,2,1.0,1,1.0,1,1.0,0,
301,NickBellore,SEA,31,,16,0,1,5,0.0,1,1.0,4,4.0,0,
302,DavidBlough,DET,25,,1,0,1,18,1.0,18,18.0,0,0.0,0,
303,CJBoard,NYG,27,wr,14,4,1,3,0.0,3,3.0,0,0.0,0,
304,MarquiseBrown,BAL,23,WR,16,14,1,1,0.0,1,1.0,0,0.0,0,
305,NoahBrown,DAL,24,wr,16,1,1,4,0.0,1,1.0,3,3.0,0,
306,JasonCabinda,DET,24,mlb,16,2,1,0,0.0,0,0.0,0,0.0,0,
307,AJCole,LVR,25,p,16,0,1,0,,0,0.0,0,0.0,0,
308,KeelanCole,JAX,27,wr,16,5,1,2,0.0,0,0.0,2,2.0,0,
309,JamisonCrowder,NYJ,27,wr,12,7,1,14,1.0,10,10.0,4,4.0,0,
310,GabrielDavis,BUF,21,WR,16,11,1,0,0.0,0,0.0,0,0.0,0,
311,StefonDiggs,BUF,27,WR,16,15,1,1,0.0,0,0.0,1,1.0,0,
312,GeraldEverett,LAR,26,te,16,7,1,2,1.0,2,2.0,0,0.0,0,
313,WillFuller,HOU,26,WR,11,11,1,0,0.0,0,0.0,0,0.0,0,
314,AntonioGandy-Golden,WAS,22,wr,6,2,1,22,1.0,21,21.0,1,1.0,0,
315,JamieGillan,CLE,23,p,16,0,1,-2,,-2,-2.0,0,0.0,0,
316,TerryGodwin,JAX,24,,3,0,1,3,0.0,1,1.0,2,2.0,0,
317,MarvinHall,2TM,27,,12,6,1,1,0.0,0,0.0,1,1.0,1,1.0
318,PennyHart,SEA,24,,13,0,1,19,1.0,19,19.0,0,0.0,0,
319,JeffHeath,LVR,29,fs,13,5,1,1,1.0,1,1.0,0,0.0,0,
320,TylerHigbee,LAR,27,TE,15,15,1,1,0.0,1,1.0,0,0.0,0,
321,JohnHightower,PHI,24,wr,13,4,1,1,0.0,0,0.0,1,1.0,0,
322,TJHockenson,DET,23,TE,16,16,1,0,0.0,0,0.0,0,0.0,0,
323,AmaniHooker,TEN,22,fs,16,3,1,4,1.0,4,4.0,0,0.0,0,
324,DeAndreHopkins,ARI,28,WR,16,16,1,1,0.0,0,0.0,1,1.0,0,
325,BrianHoyer,NWE,35,qb,1,1,1,8,1.0,2,2.0,6,6.0,1,1.0
326,AndyIsabella,ARI,24,wr,13,2,1,-6,0.0,-6,-6.0,0,0.0,0,
327,DeSeanJackson,PHI,34,wr,5,5,1,12,1.0,8,8.0,4,4.0,0,
328,JustinJefferson,MIN,21,WR,16,14,1,2,0.0,1,1.0,1,1.0,0,
329,VanJefferson,LAR,24,,16,0,1,-1,0.0,-1,-1.0,0,0.0,0,
330,ChrisJones,DAL,31,,8,0,1,0,,0,0.0,0,0.0,0,
331,AdrianKillins,PHI,22,,1,0,1,-12,,-12,-12.0,0,0.0,0,
332,ColeKmet,CHI,21,te,16,9,1,-3,0.0,-3,-3.0,0,0.0,0,
333,TyLong,LAC,27,p,16,0,1,-28,,-28,-28.0,0,0.0,0,
334,JakeLuton,JAX,24,qb,3,3,1,13,1.0,0,0.0,13,13.0,0,
335,JoshMalone,NYJ,24,,4,0,1,12,1.0,9,9.0,3,3.0,0,
336,SamMartin,DEN,30,p,16,0,1,0,,0,0.0,0,0.0,0,
337,BarkeviousMingo,CHI,30,olb,16,3,1,11,1.0,11,11.0,0,0.0,0,
338,DonteMoncrief,NWE,27,,6,0,1,4,1.0,0,0.0,4,4.0,1,1.0
339,CJMoore,DET,25,,12,0,1,3,,3,3.0,0,0.0,0,
340,JojoNatson,CLE,26,,3,0,1,3,,3,3.0,0,0.0,0,
341,SharrodNeasman,ATL,29,cb,16,2,1,2,,2,2.0,0,0.0,0,
342,QadreeOllison,ATL,24,,3,0,1,3,1.0,0,0.0,3,3.0,0,
343,DevineOzigbo,JAX,24,,8,0,1,1,0.0,1,1.0,0,0.0,0,
344,BreshadPerriman,NYJ,27,WR,12,12,1,6,0.0,6,6.0,0,0.0,0,
345,NathanPeterman,LVR,26,,1,0,1,9,1.0,8,8.0,1,1.0,0,
346,KalifRaymond,TEN,26,,15,3,1,-3,0.0,-3,-3.0,0,0.0,0,
347,CraigReynolds,JAX,24,,2,0,1,4,,4,4.0,0,0.0,0,
348,JoshReynolds,LAR,25,WR,16,13,1,5,0.0,4,4.0,1,1.0,0,
349,PatrickRicard,BAL,26,fb,15,10,1,-1,0.0,-1,-1.0,0,0.0,0,
350,AndreRoberts,BUF,32,,15,0,1,-3,0.0,-3,-3.0,0,0.0,0,
351,AllenRobinson,CHI,27,WR,16,16,1,-1,0.0,-1,-1.0,0,0.0,0,
352,EmmanuelSanders,NOR,33,wr,14,5,1,12,1.0,9,9.0,3,3.0,0,
353,MohamedSanu,2TM,31,,10,4,1,3,1.0,0,0.0,3,3.0,0,
354,CamSims,WAS,24,wr,16,10,1,5,0.0,1,1.0,4,4.0,0,
355,StevenSims,WAS,23,wr,12,2,1,18,1.0,1,1.0,17,17.0,0,
356,MattSkura,BAL,27,C,15,12,1,0,,0,0.0,0,0.0,0,
357,TreQuanSmith,NOR,24,wr,14,10,1,3,0.0,1,1.0,2,2.0,0,
358,EquanimeousStBrown,GNB,24,wr,12,1,1,7,1.0,4,4.0,3,3.0,0,
359,EastonStick,LAC,25,,1,0,1,-2,,-2,-2.0,0,0.0,0,
360,MalikTaylor,GNB,25,wr,15,1,1,9,0.0,0,0.0,9,9.0,0,
361,MichaelThomas,NOR,27,wr,7,5,1,1,0.0,0,0.0,1,1.0,0,
362,MikeThomas,CIN,26,,14,0,1,1,0.0,0,0.0,1,1.0,0,
363,DarianThompson,DAL,27,ss,15,7,1,3,,3,3.0,0,0.0,0,
364,AustinWalter,SFO,24,,4,0,1,3,0.0,1,1.0,2,2.0,0,
365,SammyWatkins,KAN,27,wr,10,9,1,3,0.0,1,1.0,2,2.0,0,
366,TrevonWesco,NYJ,25,te,12,4,1,0,,0,0.0,0,0.0,0,
367,JonathanWilliams,DET,26,,5,0,1,5,0.0,5,5.0,0,0.0,0,
368,MikeWilliams,LAC,26,WR,15,11,1,1,0.0,1,1.0,0,0.0,0,
369,JavonWims,CHI,26,wr,13,1,1,2,0.0,1,1.0,1,1.0,0,
370,OlamideZaccheaus,ATL,23,wr,11,2,1,0,0.0,0,0.0,0,0.0,0,
371,BrandonZylstra,CAR,27,wr,16,2,1,1,0.0,1,1.0,0,0.0,0,
