,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
64,CarlosHyde,SEA,30,,10,1,81,356,20.0,172,2.1,184,2.3,4,20.3
65,JerickMcKinnon,SFO,28,rb,16,4,81,319,16.0,191,2.4,128,1.6,3,27.0
66,BostonScott,PHI,25,rb,16,4,80,374,16.0,220,2.8,154,1.9,10,8.0
67,SonyMichel,NWE,25,rb,9,6,79,449,19.0,164,2.1,285,3.6,9,8.8
68,DukeJohnson,HOU,27,rb,11,5,77,235,11.0,119,1.5,116,1.5,5,15.4
69,SalvonAhmed,MIA,22,rb,6,4,75,319,18.0,245,3.3,74,1.0,4,18.8
70,MarkIngram,BAL,31,rb,11,9,72,299,14.0,173,2.4,126,1.8,6,12.0
71,RexBurkhead,NWE,30,,10,0,67,274,18.0,178,2.7,96,1.4,5,13.4
72,DanielJones,NYG,23,QB,14,14,65,423,15.0,375,5.8,48,0.7,1,65.0
73,CordarrellePatterson,CHI,29,wr,16,3,64,232,12.0,136,2.1,96,1.5,6,10.7
74,LaMicalPerine,NYJ,22,,10,0,64,232,18.0,132,2.1,100,1.6,2,32.0
75,JalenHurts,PHI,22,qb,15,4,63,354,25.0,285,4.5,69,1.1,4,15.8
76,SamajePerine,CIN,25,rb,16,1,63,301,16.0,149,2.4,152,2.4,5,12.6
77,ItoSmith,ATL,25,,14,0,63,268,8.0,182,2.9,86,1.4,2,31.5
78,PatrickMahomes,KAN,25,QB,15,15,62,308,22.0,261,4.2,47,0.8,2,31.0
79,MattBreida,MIA,25,rb,12,1,59,254,11.0,162,2.7,92,1.6,2,29.5
80,JustinJackson,LAC,24,rb,9,4,59,270,15.0,174,2.9,96,1.6,2,29.5
81,ChristianMcCaffrey,CAR,24,rb,3,3,59,225,14.0,97,1.6,128,2.2,9,6.6
82,JustinHerbert,LAC,22,QB,15,15,55,234,20.0,177,3.2,57,1.0,2,27.5
83,AlfredMorris,NYG,32,,9,0,55,238,13.0,115,2.1,123,2.2,3,18.3
84,DevontaFreeman,NYG,28,,5,4,54,172,7.0,104,1.9,68,1.3,2,27.0
85,TyJohnson,2TM,23,,13,1,54,254,11.0,155,2.9,99,1.8,1,54.0
86,BakerMayfield,CLE,25,QB,16,16,54,165,18.0,144,2.7,21,0.4,0,
87,TeddyBridgewater,CAR,28,QB,15,15,53,279,18.0,220,4.2,59,1.1,3,17.7
88,KerryonJohnson,DET,23,rb,16,2,52,181,9.0,116,2.2,65,1.3,3,17.3
89,CarsonWentz,PHI,28,QB,12,12,52,276,25.0,150,2.9,126,2.4,4,13.0
90,JaredGoff,LAR,26,QB,15,15,51,99,12.0,93,1.8,6,0.1,0,
91,JeremyMcNichols,TEN,25,,16,0,47,204,8.0,103,2.2,101,2.1,5,9.4
92,AJDillon,GNB,22,,11,0,46,242,11.0,100,2.2,142,3.1,6,7.7
93,DrewLock,DEN,24,QB,13,13,44,160,13.0,150,3.4,10,0.2,0,
94,RyanTannehill,TEN,32,QB,16,16,43,266,22.0,221,5.1,45,1.0,0,
95,CurtisSamuel,CAR,24,wr,15,5,41,200,10.0,87,2.1,113,2.8,3,13.7
96,RodneySmith,CAR,24,rb,7,1,41,156,14.0,80,2.0,76,1.9,5,8.2
97,DerekCarr,LVR,29,QB,16,16,39,140,16.0,130,3.3,10,0.3,1,39.0
98,JamycalHasty,SFO,24,,8,0,39,148,7.0,105,2.7,43,1.1,0,
99,DarrelWilliams,KAN,25,,16,0,39,169,14.0,104,2.7,65,1.7,0,
100,AaronRodgers,GNB,37,QB,16,16,38,149,15.0,143,3.8,6,0.2,0,
101,JoeBurrow,CIN,24,qb,10,10,37,142,14.0,119,3.2,23,0.6,3,12.3
102,SamDarnold,NYJ,23,QB,12,12,37,217,13.0,145,3.9,72,1.9,1,37.0
103,TuaTagovailoa,MIA,22,qb,10,9,36,109,13.0,80,2.2,29,0.8,0,
104,RoyceFreeman,DEN,24,,16,0,35,170,10.0,94,2.7,76,2.2,2,17.5
105,JordanHoward,2TM,26,,7,4,35,60,7.0,16,0.5,44,1.3,1,35.0
106,JamesWhite,NWE,28,,14,0,35,121,6.0,78,2.2,43,1.2,1,35.0
107,DeeJayDallas,SEA,22,rb,12,2,34,108,9.0,47,1.4,61,1.8,2,17.0
108,DErnestJohnson,CLE,24,,16,0,33,166,7.0,101,3.1,65,2.0,2,16.5
109,AnthonyMcFarland,PIT,21,,11,0,33,113,4.0,70,2.1,43,1.3,1,33.0
110,MitchellTrubisky,CHI,26,qb,10,9,33,195,12.0,145,4.4,50,1.5,2,16.5
111,KirkCousins,MIN,32,QB,16,16,32,156,16.0,141,4.4,15,0.5,1,32.0
112,DareOgunbowale,JAX,26,rb,14,2,32,145,6.0,72,2.3,73,2.3,3,10.7
