,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
344,BreshadPerriman,NYJ,27,WR,12,12,1,6,0,0,6,6.0,0.5,0
345,NathanPeterman,LVR,26,,1,0,1,9,0,1,9,9.0,9.0,0
346,KalifRaymond,TEN,26,,15,3,1,-3,0,0,-3,-3.0,-0.2,0
347,CraigReynolds,JAX,24,,2,0,1,4,0,0,4,4.0,2.0,0
348,JoshReynolds,LAR,25,WR,16,13,1,5,0,0,5,5.0,0.3,2
349,PatrickRicard,BAL,26,fb,15,10,1,-1,0,0,-1,-1.0,-0.1,1
350,AndreRoberts,BUF,32,,15,0,1,-3,0,0,-3,-3.0,-0.2,3
351,AllenRobinson,CHI,27,WR,16,16,1,-1,0,0,-1,-1.0,-0.1,0
352,EmmanuelSanders,NOR,33,wr,14,5,1,12,0,1,12,12.0,0.9,1
353,MohamedSanu,2TM,31,,10,4,1,3,0,1,3,3.0,0.3,0
354,CamSims,WAS,24,wr,16,10,1,5,0,0,5,5.0,0.3,0
355,StevenSims,WAS,23,wr,12,2,1,18,0,1,18,18.0,1.5,5
356,MattSkura,BAL,27,C,15,12,1,0,0,0,0,0.0,0.0,4
357,TreQuanSmith,NOR,24,wr,14,10,1,3,0,0,3,3.0,0.2,1
358,EquanimeousStBrown,GNB,24,wr,12,1,1,7,0,1,7,7.0,0.6,0
359,EastonStick,LAC,25,,1,0,1,-2,0,0,-2,-2.0,-2.0,0
360,MalikTaylor,GNB,25,wr,15,1,1,9,0,0,9,9.0,0.6,0
361,MichaelThomas,NOR,27,wr,7,5,1,1,0,0,1,1.0,0.1,0
362,MikeThomas,CIN,26,,14,0,1,1,0,0,1,1.0,0.1,1
363,DarianThompson,DAL,27,ss,15,7,1,3,0,0,3,3.0,0.2,0
364,AustinWalter,SFO,24,,4,0,1,3,0,0,3,3.0,0.8,0
365,SammyWatkins,KAN,27,wr,10,9,1,3,0,0,3,3.0,0.3,1
366,TrevonWesco,NYJ,25,te,12,4,1,0,0,0,0,0.0,0.0,0
367,JonathanWilliams,DET,26,,5,0,1,5,0,0,5,5.0,1.0,1
368,MikeWilliams,LAC,26,WR,15,11,1,1,0,0,1,1.0,0.1,0
369,JavonWims,CHI,26,wr,13,1,1,2,0,0,2,2.0,0.2,0
370,OlamideZaccheaus,ATL,23,wr,11,2,1,0,0,0,0,0.0,0.0,0
371,BrandonZylstra,CAR,27,wr,16,2,1,1,0,0,1,1.0,0.1,0
