,Player,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
57,ChristianMcCaffrey,CAR,65,47,0,0,0,0,0,0,59,0,0,0,bye,0,0,0,0,171,57.0
58,DOntaForeman,TEN,0,0,0,bye,0,0,0,6,8,9,1,5,0,0,0,0,0,29,4.8
59,JoeMixon,CIN,40,46,52,62,51,39,0,0,bye,0,0,0,0,0,0,0,0,290,48.3
60,AlvinKamara,NO,45,41,41,47,58,bye,51,58,37,39,32,31,48,45,40,45,0,658,43.9
61,WayneGallman,NYG,3,0,18,10,12,4,32,32,44,42,bye,51,28,27,23,32,33,391,26.1
62,SamajePerine,CIN,0,0,1,1,0,3,18,24,bye,16,31,7,17,28,12,29,19,206,12.9
63,JamaalWilliams,GB,30,31,19,36,bye,32,55,63,0,31,30,33,21,20,4,0,12,417,29.8
64,KareemHunt,CLE,37,20,29,26,51,30,47,42,bye,38,36,28,35,39,21,35,35,549,34.3
65,MarlonMack,IND,11,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,11,11.0
66,JeremyMcNichols,TEN,13,11,9,bye,26,29,15,22,16,17,12,18,33,22,8,9,11,271,16.9
67,CoreyClement,PHI,26,3,6,4,3,7,17,19,bye,1,0,4,0,2,0,1,14,107,7.1
68,JamesConner,PIT,15,50,53,bye,47,44,66,31,32,64,52,0,0,23,0,42,43,562,43.2
69,BrianHill,ATL,21,15,24,16,20,21,17,25,19,bye,26,39,11,9,15,19,31,328,20.5
70,TarikCohen,CHI,30,21,26,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,77,25.7
71,AustinEkeler,LAC,50,47,56,3,0,bye,0,0,0,0,0,60,43,44,41,37,31,412,41.2
72,AaronJones,GB,42,35,44,33,bye,36,0,0,40,41,30,38,40,47,56,25,32,539,38.5
73,AlexArmah,CAR,8,17,7,17,10,6,4,3,12,8,13,3,bye,4,7,16,10,145,9.1
74,ChrisCarson,SEA,28,40,45,35,31,bye,15,0,0,0,0,25,42,33,40,40,30,404,33.7
75,DareOgunbowale,JAC,0,0,5,0,0,0,7,bye,3,10,13,0,10,22,14,39,63,186,13.3
76,MattBreida,MIA,14,17,11,17,21,16,bye,8,0,0,7,23,0,0,18,0,0,152,12.7
77,PatrickRicard,BAL,25,28,11,25,17,29,bye,17,22,19,23,0,30,30,39,39,51,405,27.0
78,TreyEdmunds,PIT,0,0,0,bye,6,0,1,0,0,0,0,0,0,0,0,0,0,7,1.8
79,SaquonBarkley,NYG,59,8,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,67,33.5
80,RonaldJones,TB,33,21,35,49,49,36,31,17,16,47,25,21,bye,34,0,0,36,450,32.1
81,RoyceFreeman,DEN,6,17,24,14,bye,25,18,0,1,10,4,13,4,4,7,18,29,194,12.1
82,NickChubb,CLE,35,36,34,14,0,0,0,0,bye,28,30,41,36,44,38,47,27,410,34.2
83,KerryonJohnson,DET,20,19,20,11,bye,14,14,11,25,9,39,39,30,14,7,11,9,292,18.3
84,JoshAdams,NYJ,13,5,0,0,0,0,0,0,0,bye,0,1,19,12,1,0,24,75,9.4
85,ItoSmith,ATL,20,11,6,16,9,11,3,0,0,bye,6,28,24,25,31,22,13,225,16.1
86,KalenBallage,Multi,0,8,19,29,0,0,0,0,31,46,55,0,27,23,21,16,25,300,27.3
87,MylesGaskin,MIA,40,49,46,47,42,39,bye,43,0,0,0,0,50,0,0,48,51,455,45.5
88,JaylenSamuels,PIT,20,5,6,bye,2,5,9,8,0,1,0,0,27,27,7,4,0,121,8.6
