,Player,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
251,TroyFumagalli,DEN,0,0,0,0,bye,0,0,0,0,12,20,12,7,39,19,15,11,135,16.9
252,HaydenHurst,ATL,63,49,43,45,54,69,55,56,51,bye,54,37,42,33,43,44,49,787,49.2
253,DaltonSchultz,DAL,50,44,55,63,58,72,46,75,70,bye,60,51,71,49,51,65,81,961,60.1
254,IanThomas,CAR,46,40,35,44,42,47,32,40,59,29,40,43,bye,47,50,39,41,674,42.1
255,JordanThomas,Multi,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,9,1.5
256,JordanAkins,HOU,48,49,32,19,0,0,0,bye,22,24,31,26,45,36,40,17,16,405,31.2
257,MarcusBaugh,WAS,27,15,11,9,0,0,0,bye,0,0,0,0,0,4,3,2,6,77,9.6
258,DurhamSmythe,MIA,14,36,42,29,0,19,bye,32,25,39,13,30,41,36,41,30,23,450,30.0
259,NoahFant,DEN,43,61,53,35,bye,0,54,51,57,60,49,30,54,5,44,64,73,733,48.9
260,ChrisHerndon,NYJ,40,48,51,54,29,45,31,40,30,bye,36,45,41,34,43,60,47,674,42.1
261,RyanIzzo,NE,63,70,43,0,bye,35,23,48,76,54,56,51,43,0,0,0,0,562,51.1
262,TylerConklin,MIN,9,3,10,9,10,9,bye,11,25,46,12,48,59,45,45,55,57,453,28.3
263,KevinRader,PIT,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0
264,TannerHudson,TB,0,0,0,8,16,8,2,3,1,7,0,0,bye,0,7,22,0,74,6.7
265,DeonYelder,KC,0,0,9,0,7,7,14,16,7,bye,15,15,15,8,19,6,44,182,14.0
266,RossDwelley,SF,7,39,64,13,1,21,22,39,42,37,bye,44,35,36,46,26,30,502,31.4
267,WillDissly,SEA,26,31,31,28,20,bye,49,43,21,24,43,48,39,36,37,35,49,560,35.0
268,NickKeizer,KC,30,11,20,0,17,21,12,19,13,bye,29,20,13,12,33,13,20,283,18.9
269,JaedenGraham,ATL,9,1,8,6,3,1,8,4,10,bye,2,25,8,11,9,7,4,116,7.3
270,AlbertOkwuegbunam,DEN,0,0,0,0,bye,24,31,16,15,0,0,0,0,0,0,0,0,86,21.5
271,TJHockenson,DET,50,41,54,46,bye,29,44,45,57,39,37,60,53,56,52,46,39,748,46.8
272,KadenSmith,NYG,29,31,16,24,27,23,36,42,41,41,bye,0,37,23,24,26,33,453,30.2
273,DanielHelm,SF,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,21,7,0,28,5.6
274,FosterMoreau,LV,12,32,15,10,12,bye,11,31,13,25,17,8,20,13,20,2,14,255,15.9
275,BrandonDillon,MIN,0,0,0,0,0,0,bye,0,0,2,0,8,2,0,0,0,0,12,4.0
276,DrewSample,CIN,24,54,64,64,63,55,73,62,bye,57,57,38,45,64,51,66,31,868,54.3
277,TrevonWesco,NYJ,8,24,15,8,16,7,9,9,0,bye,0,0,0,12,17,8,13,146,12.2
278,IsaacNauta,DET,0,0,0,0,bye,5,6,6,5,13,4,8,0,0,0,0,0,47,6.7
279,IrvSmith,MIN,31,35,36,41,59,44,bye,41,22,0,33,0,0,28,56,56,63,545,41.9
280,CalebWilson,PHI,0,0,0,0,0,0,0,0,bye,0,0,5,0,0,0,0,4,9,1.8
281,JaceSternberger,GB,12,16,20,14,bye,20,20,27,18,20,16,16,3,0,0,0,0,202,16.8
282,DawsonKnox,BUF,57,22,0,30,25,0,0,0,25,51,bye,38,49,60,40,46,46,489,40.8
283,KahaleWarring,HOU,0,0,0,0,0,0,0,bye,0,0,0,4,6,15,12,8,7,52,7.4
284,ZachGentry,PIT,0,0,0,bye,0,0,0,0,0,14,6,0,0,0,0,0,0,20,10.0
285,AndrewBeck,DEN,6,8,6,8,bye,11,0,0,0,0,0,0,10,6,3,2,7,67,6.7
286,StephenCarlson,CLE,12,4,6,18,0,1,9,9,bye,0,0,3,2,11,0,0,16,91,5.7
287,DonaldParham,LAC,0,0,0,1,7,bye,18,10,9,14,9,12,19,14,24,46,38,221,17.0
288,NateBecker,BUF,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,30,30,30.0
289,MattSokol,LAC,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,15,15,7.5
290,ChrisMyarick,MIA,0,0,0,0,0,0,bye,0,0,5,0,0,0,0,3,0,0,8,2.7
291,ColeKmet,CHI,21,22,26,15,21,23,0,30,36,35,bye,54,54,51,64,65,67,584,38.9
292,HunterBryant,DET,0,0,0,0,bye,0,0,0,0,0,0,0,5,4,7,1,8,25,5.0
293,ColbyParkinson,SEA,0,0,0,0,0,bye,0,3,0,0,0,11,2,19,8,0,8,51,8.5
294,HarrisonBryant,CLE,31,30,40,53,29,21,40,39,bye,36,39,42,39,55,30,67,0,591,39.4
295,AdamTrautman,NO,7,8,32,19,0,bye,28,16,29,27,32,39,27,15,21,52,41,393,26.2
296,DevinAsiasi,NE,10,10,29,0,bye,24,0,0,0,0,0,0,0,23,27,47,35,205,25.6
297,JosiahDeguara,GB,24,0,0,7,bye,0,0,0,0,0,0,0,0,0,0,0,0,31,15.5
298,DaltonKeene,NE,0,0,0,0,bye,0,24,0,0,0,0,0,23,31,29,3,30,140,23.3
299,CharlieWoerner,SF,1,8,12,2,2,2,7,6,8,8,bye,13,15,24,0,0,11,119,8.5
300,NoahTogiai,IND,0,37,15,0,0,4,bye,0,0,16,0,0,0,0,0,0,0,72,18.0
301,BenEllefson,JAC,13,17,0,0,0,0,20,bye,26,19,26,13,0,0,0,0,0,134,19.1
302,SeanMcKeon,DAL,0,3,4,0,5,6,2,0,6,bye,5,4,3,9,7,7,4,65,4.6
303,TylerDavis,JAC,0,0,12,7,5,9,0,bye,0,0,0,0,0,0,0,0,0,33,4.1
304,FarrodGreen,IND,0,5,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,5,5.0
305,JakeBargas,MIN,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,7,0,7,7.0
306,DominiqueDafney,GB,0,0,0,0,bye,0,0,0,0,0,0,0,6,12,11,26,13,68,13.6
307,DannyAmendola,DET,44,33,29,34,bye,20,33,41,48,23,0,0,33,34,27,31,24,454,32.4
308,DeSeanJackson,PHI,38,55,28,0,0,0,39,0,bye,0,0,0,0,0,0,20,0,180,36.0
309,JulianEdelman,NE,38,52,56,0,bye,43,31,0,0,0,0,0,0,0,0,0,0,220,44.0
310,LarryFitzgerald,ARI,65,61,56,53,60,38,65,bye,51,66,55,0,0,57,46,71,0,744,57.2
311,MatthewSlater,NE,1,0,1,0,bye,0,0,0,0,1,0,0,2,0,0,0,0,5,0.3
312,TedGinn,CHI,28,0,16,7,4,3,0,0,0,0,bye,0,0,0,0,0,0,58,11.6
313,DezBryant,BAL,0,0,0,0,0,0,bye,0,2,0,35,32,0,0,18,19,23,129,21.5
314,GoldenTate,NYG,0,40,48,51,40,30,28,38,0,27,bye,46,18,28,30,0,0,424,35.3
315,AndreRoberts,BUF,2,6,11,6,24,1,0,0,0,1,bye,0,0,0,0,11,0,62,4.1
316,EmmanuelSanders,NO,33,47,48,51,45,bye,0,0,22,34,39,20,49,53,39,38,41,559,39.9
317,AntonioBrown,TB,0,0,0,0,0,0,0,0,39,39,43,43,bye,25,32,46,56,323,40.4
318,AJGreen,CIN,45,57,55,53,28,58,64,62,bye,54,54,40,45,63,51,56,34,819,51.2
319,JulioJones,ATL,65,59,0,15,0,66,58,58,63,bye,22,0,63,0,0,0,0,469,52.1
320,RandallCobb,HOU,46,40,34,48,35,44,49,bye,37,32,5,0,0,0,0,0,0,370,37.0
321,AlshonJeffery,PHI,0,0,0,0,0,0,0,0,bye,18,5,35,35,31,52,26,0,202,28.9
322,MohamedSanu,Multi,0,13,20,7,0,0,0,0,0,0,15,39,40,40,42,38,27,281,28.1
323,TYHilton,IND,59,42,31,54,53,59,bye,28,0,47,51,54,43,41,35,47,44,688,45.9
324,MarvinJones,DET,71,53,60,54,bye,40,55,60,71,51,50,68,64,59,58,50,53,917,57.3
325,ColeBeasley,BUF,56,41,38,19,44,34,60,36,46,58,bye,53,55,61,45,35,0,681,45.4
326,ChrisHogan,NYJ,51,59,51,67,45,0,0,0,0,bye,0,0,0,0,0,0,0,273,54.6
327,DeAndreHopkins,ARI,77,75,61,54,65,48,79,bye,67,70,61,71,64,62,65,75,48,1042,65.1
328,RobertWoods,LAR,61,59,67,54,59,57,0,88,bye,56,68,62,61,49,53,68,72,934,62.3
329,KennyStills,HOU,22,28,8,27,17,15,22,bye,15,8,4,0,0,0,0,0,0,166,16.6
330,CordarrellePatterson,CHI,10,14,11,11,15,12,0,10,17,25,bye,9,17,19,6,0,12,188,12.5
331,KeenanAllen,LAC,70,81,75,50,12,bye,69,85,78,55,78,78,62,57,24,0,0,874,62.4
332,TavonAustin,GB,0,0,0,0,bye,0,0,0,0,0,0,0,0,4,4,17,5,30,7.5
333,SammyWatkins,KC,55,45,65,0,26,0,0,0,0,bye,0,57,48,54,80,51,0,481,53.4
334,MikeEvans,TB,65,53,61,54,60,50,62,63,43,64,61,53,bye,39,55,62,11,856,53.5
335,BrandinCooks,HOU,31,53,41,61,48,62,55,bye,59,55,57,49,53,0,68,50,60,802,53.5
336,DavanteAdams,GB,69,38,0,0,bye,52,57,70,50,53,57,63,54,62,60,47,41,773,55.2
337,JordanMatthews,SF,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,14,14,7.0
338,DonteMoncrief,NE,0,0,0,0,bye,0,0,0,0,0,4,1,15,5,0,0,0,25,4.2
339,AllenRobinson,CHI,53,53,64,55,55,58,0,68,73,45,bye,64,51,45,57,49,71,861,57.4
340,OdellBeckham,CLE,56,39,51,58,63,48,2,0,bye,0,0,0,0,0,0,0,0,317,45.3
341,JarvisLandry,CLE,52,35,45,57,56,44,40,38,bye,38,38,41,48,76,45,0,46,699,46.6
342,JohnBrown,BUF,81,56,29,53,0,51,0,47,53,54,bye,0,0,0,0,0,30,454,50.4
343,WillieSnead,BAL,39,41,47,32,38,50,bye,59,34,45,48,0,0,48,43,12,0,536,41.2
344,BennieFowler,NO,7,4,11,10,24,bye,0,0,0,0,0,0,0,0,0,0,0,56,11.2
345,DontrelleInman,WAS,37,45,45,57,31,66,20,bye,0,0,0,11,10,0,0,0,2,324,32.4
346,AdamThielen,MIN,50,48,61,59,81,52,bye,47,50,72,57,0,83,71,64,56,76,927,61.8
347,DiontaeSpencer,DEN,6,3,2,1,bye,4,0,0,0,2,1,0,0,2,1,13,30,65,5.9
348,SethRoberts,CAR,5,19,17,8,10,15,19,0,0,0,0,0,bye,0,0,0,0,93,13.3
349,AmariCooper,DAL,68,63,65,63,42,79,42,59,60,bye,54,50,69,42,45,51,81,933,58.3
350,DeVanteParker,MIA,23,66,56,57,53,46,bye,29,55,53,63,67,55,27,0,0,76,726,51.9
351,KevinWhite,SF,0,0,0,0,2,0,0,0,7,0,bye,0,0,0,0,0,0,9,3.0
352,NelsonAgholor,LV,12,15,50,68,55,bye,51,56,43,43,44,42,52,45,64,49,44,733,45.8
353,TylerLockett,SEA,58,60,74,56,52,bye,78,59,62,58,49,60,62,47,52,59,58,944,59.0
354,BreshadPerriman,NYJ,56,20,0,0,0,63,54,0,45,bye,59,54,59,53,63,69,56,651,54.3
355,JamisonCrowder,NYJ,48,0,0,64,52,63,0,0,31,bye,56,44,42,38,49,63,42,592,49.3
356,StefonDiggs,BUF,82,48,61,57,60,51,72,53,60,69,bye,60,69,70,67,56,31,966,60.4
357,JakeKumerow,BUF,0,0,0,0,0,0,0,0,3,0,bye,1,4,4,5,0,0,17,2.8
358,DeAndreCarter,Multi,13,0,0,0,3,0,0,0,5,0,0,0,5,0,0,8,2,36,2.8
359,ChrisConley,JAC,16,34,53,21,24,4,16,bye,49,55,37,0,8,9,23,27,52,428,28.5
360,DamiereByrd,NE,56,62,66,0,bye,55,48,65,80,42,62,45,52,52,53,50,40,828,55.2
361,AdamHumphries,TEN,44,34,39,bye,0,41,31,12,0,0,0,0,26,0,0,0,0,227,32.4
362,LaquonTreadwell,ATL,0,0,0,0,0,0,0,0,0,bye,0,0,0,8,5,11,35,59,11.8
363,MichaelThomas,NO,55,0,0,0,0,bye,0,0,40,46,57,43,47,57,0,0,0,345,49.3
364,TylerBoyd,CIN,55,78,54,58,46,57,60,55,bye,52,56,40,24,59,11,0,41,746,49.7
365,PharohCooper,CAR,3,6,9,19,15,4,2,2,4,0,3,0,bye,39,9,10,18,143,8.9
366,SterlingShepard,NYG,53,15,0,0,0,0,46,52,60,58,bye,63,27,39,38,61,49,561,46.8
367,RashardHiggins,CLE,16,5,0,0,40,34,44,35,bye,38,40,41,49,69,47,0,44,502,38.6
368,TajaeSharpe,MIN,7,9,0,0,0,0,bye,0,0,0,0,7,0,5,0,0,0,28,7.0
369,WillFullerV,HOU,47,37,44,50,49,66,67,bye,57,55,60,47,0,0,0,0,0,579,52.6
370,ChrisMoore,BAL,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,2,12,14,4.7
371,DemarcusRobinson,KC,33,48,41,0,50,69,34,36,50,bye,63,57,37,33,50,41,47,689,45.9
372,JakeemGrant,MIA,33,10,8,29,14,20,bye,16,29,44,55,24,39,31,0,19,0,371,26.5
373,RobbyAnderson,CAR,56,54,40,45,47,59,40,45,69,35,50,53,bye,57,62,52,42,806,50.4
374,AlexErickson,CIN,4,8,6,7,2,3,0,1,bye,0,5,8,19,8,28,62,37,198,12.4
375,TyreekHill,KC,59,69,60,0,63,67,37,50,59,bye,72,68,61,57,84,43,0,849,60.6
376,MarcusJohnson,IND,0,0,0,34,30,40,bye,48,60,18,38,26,1,8,0,0,0,303,27.5
377,MikeThomas,CIN,16,32,16,25,33,26,17,6,bye,18,0,0,13,6,1,12,10,231,16.5
378,KalifRaymond,TEN,18,28,20,bye,36,21,1,24,14,16,15,15,14,16,0,7,3,248,16.5
379,MarvinHall,Multi,16,17,6,5,0,8,12,42,53,38,38,49,0,0,0,74,0,358,29.8
380,JaydonMickens,TB,0,0,2,11,8,3,3,44,1,0,0,0,bye,0,0,0,3,75,7.5
381,MarkenMichel,CAR,0,0,0,0,0,0,0,0,0,0,0,0,bye,3,0,0,0,3,1.5
382,TommyleeLewis,NO,0,0,0,0,0,bye,0,5,0,0,0,0,4,1,6,0,7,23,4.6
383,DukeWilliams,BUF,0,0,0,0,0,0,4,0,0,0,bye,0,0,0,0,0,0,4,4.0
384,MikeWilliams,LAC,58,74,40,0,55,bye,61,76,73,48,68,67,59,2,28,48,42,799,53.3
385,CoreyDavis,TEN,66,50,55,bye,0,0,52,49,43,40,52,56,57,42,53,45,59,719,51.4
386,JohnRoss,CIN,58,28,0,0,0,1,0,0,bye,0,0,0,0,0,0,0,0,87,29.0
387,ChrisGodwin,TB,66,0,55,0,0,40,59,0,47,72,68,54,bye,44,60,51,59,675,56.3
388,TaywanTaylor,CLE,0,0,0,0,0,10,0,3,bye,0,0,9,0,0,0,0,0,22,7.3
389,JuJuSmith-Schuster,PIT,55,59,58,bye,57,42,65,41,63,61,59,67,61,57,59,63,56,923,57.7
390,ChadHansen,HOU,0,0,0,0,0,0,0,bye,0,0,0,0,59,53,63,50,59,284,56.8
391,ZayJones,LV,9,18,27,67,9,bye,10,10,5,8,5,13,7,16,53,6,26,289,18.1
392,IsaiahFord,MIA,47,48,27,45,24,18,bye,17,0,0,0,0,0,0,53,33,63,375,37.5
393,CooperKupp,LAR,62,59,62,49,56,55,0,92,bye,37,52,55,53,39,48,60,0,779,55.6
394,CurtisSamuel,CAR,51,51,33,36,48,0,22,41,60,34,48,42,bye,53,58,38,44,659,43.9
395,DedeWestbrook,JAC,0,0,16,0,0,0,1,bye,0,0,0,0,0,0,0,0,0,17,8.5
396,JoshReynolds,LAR,37,42,62,30,49,50,0,77,bye,56,65,61,37,35,45,48,55,749,49.9
397,NoahBrown,DAL,3,7,29,23,21,23,15,16,8,bye,15,13,11,8,17,18,1,228,14.3
398,KennyGolladay,DET,0,0,48,50,bye,36,51,18,0,0,0,0,0,0,0,0,0,203,40.6
399,MackHollins,MIA,3,1,3,3,10,3,bye,2,17,11,12,47,13,40,69,49,4,287,17.9
400,TrentTaylor,SF,21,28,30,37,4,6,3,35,33,4,bye,0,0,0,0,0,0,201,16.8
401,CodyHollister,TEN,4,0,0,bye,27,0,0,0,0,0,0,0,0,0,0,0,0,31,15.5
402,AustinCarr,NO,0,0,0,0,0,bye,13,21,0,0,0,15,0,0,0,21,11,81,13.5
403,JoshMalone,NYJ,0,42,38,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,80,20.0
404,TimPatrick,DEN,50,51,53,53,bye,59,51,0,60,42,54,31,59,50,57,69,12,751,50.1
405,IsaiahMcKenzie,BUF,16,7,17,22,23,7,15,6,5,9,bye,12,11,10,22,32,58,272,17.0
406,GehrigDieter,KC,0,0,0,0,0,0,0,0,0,bye,3,0,0,0,0,2,20,25,6.3
407,JamalAgnew,DET,15,9,14,11,bye,12,12,7,0,0,28,25,16,11,10,12,11,193,13.8
408,DavidMoore,SEA,33,32,31,22,23,bye,29,20,34,41,37,24,45,39,21,25,26,482,30.1
409,CJBoard,NYG,21,11,24,32,28,10,0,0,14,6,bye,9,3,1,1,9,0,169,12.1
410,JoJoNatson,CLE,2,3,4,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,9,3.0
411,KeelanCole,JAC,35,51,50,50,60,26,48,bye,47,52,47,61,49,61,43,40,45,765,47.8
412,MarcusKemp,Multi,0,0,0,0,0,2,10,12,0,0,0,4,2,4,0,0,0,34,3.4
413,ZachPascal,IND,46,59,55,54,51,58,bye,58,41,47,51,53,55,41,47,61,56,833,52.1
414,KendrickBourne,SF,57,45,64,50,42,41,30,60,0,41,bye,41,30,72,42,19,54,688,45.9
415,CyrilGrayson,TB,0,18,0,0,12,12,0,0,0,0,0,0,bye,0,0,0,0,42,14.0
416,GregWard,PHI,30,13,76,48,41,58,76,58,bye,42,46,48,44,51,44,66,48,789,49.3
417,FredBrown,DEN,0,0,0,0,bye,0,0,5,0,0,0,0,0,0,0,0,0,5,5.0
418,RiverCracraft,SF,0,0,0,0,0,0,0,0,51,3,bye,2,1,14,12,1,28,112,12.4
419,BrandonZylstra,CAR,8,4,2,8,0,0,5,13,9,11,11,14,bye,26,5,3,7,126,7.9
420,CourtlandSutton,DEN,0,31,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,0,31,31.0
421,JamesWashington,PIT,37,31,49,bye,53,43,18,10,13,28,21,24,38,46,27,18,30,486,30.4
422,AnthonyMiller,CHI,27,26,47,43,26,44,0,53,53,24,bye,47,39,33,16,30,39,547,36.5
423,DeontayBurnett,PHI,0,0,39,19,0,0,0,0,bye,0,0,0,0,0,0,0,0,58,29.0
424,CalvinRidley,ATL,69,63,63,45,48,59,57,23,0,bye,51,56,63,48,58,54,65,822,54.8
425,MichaelGallup,DAL,69,62,70,67,64,72,51,69,69,bye,57,45,74,48,38,58,79,992,62.0
426,JaleelScott,NYJ,0,0,0,0,0,0,0,0,0,bye,0,0,0,9,0,0,0,9,9.0
427,TreQuanSmith,NO,44,53,61,62,59,bye,57,58,45,16,45,31,63,54,24,0,0,672,48.0
428,CedrickWilson,DAL,3,4,24,18,15,25,20,19,11,bye,14,12,20,7,16,13,7,228,14.3
429,DeonCain,PIT,0,0,0,bye,0,4,0,0,0,0,0,0,0,0,0,0,6,10,5.0
430,DantePettis,Multi,45,10,8,0,0,0,0,3,0,0,0,0,0,0,0,29,20,115,16.4
431,DJMoore,CAR,58,65,45,56,51,64,42,48,81,43,61,59,bye,0,56,55,52,836,55.7
432,TreyQuinn,JAC,0,0,0,0,0,0,0,bye,0,0,0,3,0,0,0,0,0,3,3.0
433,ChristianKirk,ARI,63,47,0,36,44,50,65,bye,44,54,61,64,60,66,58,68,0,780,55.7
434,AntonioCallaway,MIA,0,0,0,0,0,0,bye,0,0,0,8,13,13,22,0,0,0,56,11.2
435,BraxtonBerrios,NYJ,0,46,52,8,24,16,48,48,7,bye,1,3,5,11,3,7,11,290,18.1
436,DJChark,JAC,42,59,0,58,50,31,55,bye,59,56,50,0,62,64,49,41,0,676,52.0
437,AllenLazard,GB,67,61,59,0,bye,0,0,0,0,0,36,33,42,46,48,41,36,469,46.9
438,RichieJames,SF,10,0,0,0,0,7,16,0,51,69,bye,63,7,26,54,51,51,405,36.8
439,AudenTate,CIN,15,0,25,22,26,0,6,33,bye,12,21,10,0,0,0,0,0,170,18.9
440,EquanimeousStBrown,GB,0,0,0,0,bye,11,3,22,4,31,15,38,11,17,11,18,15,196,16.3
441,JavonWims,CHI,23,29,23,10,17,13,0,9,0,0,bye,0,28,25,21,36,41,275,22.9
442,RobertFoster,WAS,0,0,0,0,0,0,0,bye,0,0,5,0,0,5,10,7,0,27,6.8
443,DaeSeanHamilton,DEN,47,34,12,57,bye,38,27,61,27,31,15,18,12,13,11,61,70,534,33.4
444,KekeCoutee,HOU,0,5,0,0,0,0,0,bye,0,0,35,28,48,49,55,33,39,292,36.5
445,DauriceFountain,IND,0,15,19,15,5,0,bye,0,10,0,0,0,0,0,0,0,0,64,12.8
446,MarquezValdes-Scantling,GB,41,46,57,61,bye,53,51,61,59,60,51,56,46,47,40,41,22,792,49.5
447,Ray-RayMcCloud,PIT,0,0,3,bye,18,13,8,22,28,15,20,9,5,4,4,4,12,165,10.3
448,DamionRatley,NYG,18,27,18,29,34,0,0,0,0,0,bye,0,0,0,0,0,0,126,25.2
449,JeffBadet,WAS,0,0,0,0,0,0,3,bye,13,5,0,0,0,0,0,0,0,21,7.0
450,JustinWatson,TB,11,54,0,56,0,12,12,5,0,4,0,1,bye,3,0,0,0,158,14.4
451,RussellGage,ATL,55,62,12,47,40,51,24,39,39,bye,49,69,52,41,59,62,61,762,47.6
452,DerrickWillies,CLE,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,3,0,3,3.0
453,VyncintSmith,NYJ,0,0,0,0,0,5,3,13,0,bye,0,0,0,0,0,0,29,50,7.1
454,ByronPringle,KC,6,7,3,0,10,28,31,37,19,bye,40,0,0,0,6,7,45,239,19.9
455,BrandonPowell,ATL,2,0,38,0,5,5,24,1,10,bye,4,13,12,28,28,13,0,183,12.2
456,ChristianBlake,ATL,7,9,7,19,14,17,5,38,12,bye,37,50,3,13,15,21,11,278,17.4
457,KeithKirkwood,CAR,0,0,0,0,0,35,0,0,0,0,0,0,bye,0,0,0,0,35,35.0
458,TrentSherfield,ARI,2,5,1,0,9,6,1,bye,1,0,0,0,1,5,2,5,41,79,5.3
459,StevenMitchell,HOU,0,0,0,0,0,0,0,bye,0,0,0,8,6,61,1,2,6,84,14.0
460,CameronBatson,TEN,0,34,45,bye,0,20,0,0,13,24,18,23,23,21,21,25,17,284,23.7
461,CamSims,WAS,0,4,1,4,0,7,61,bye,40,83,52,55,62,59,77,71,63,639,39.9
462,ChadBeebe,MIN,0,0,22,16,27,22,bye,11,17,22,17,35,28,34,20,23,20,314,22.4
463,KhaDarelHodge,CLE,40,33,35,0,0,0,0,34,bye,38,48,29,0,0,8,0,26,291,32.3
464,MalikTurner,DAL,0,0,0,2,0,0,0,0,0,bye,0,0,0,0,0,0,0,2,0.3
465,AJBrown,TEN,66,0,0,bye,47,63,53,59,45,49,57,58,63,37,57,42,64,760,54.3
466,DKMetcalf,SEA,61,63,73,55,52,bye,81,65,65,64,61,55,70,46,51,61,57,980,61.3
467,NKealHarry,NE,51,61,46,0,bye,51,11,0,0,35,52,26,34,36,36,30,58,527,40.5
468,MarquiseBrown,BAL,37,44,44,43,54,62,bye,77,55,62,47,42,45,52,52,43,43,802,50.1
469,HakeemButler,PHI,0,0,0,0,0,0,1,0,bye,0,0,0,0,0,0,0,0,1,0.5
470,JJArcega-Whiteside,PHI,28,16,18,0,8,12,13,5,bye,0,0,0,0,0,0,0,41,141,17.6
471,DeeboSamuel,SF,0,0,0,25,57,60,41,0,0,0,bye,63,58,1,0,0,0,305,43.6
472,RileyRidley,CHI,0,0,0,0,0,0,0,0,16,9,bye,11,0,2,3,0,0,41,8.2
473,CollinJohnson,JAC,9,8,20,13,23,3,13,bye,9,7,10,52,39,19,1,0,0,226,16.1
474,HunterRenfrow,LV,31,40,39,52,24,bye,35,15,30,34,20,41,52,38,13,39,51,554,34.6
475,TerryGodwin,JAC,0,0,0,0,0,0,0,bye,0,2,7,0,0,0,0,0,41,50,16.7
476,AndyIsabella,ARI,14,14,26,24,23,19,42,bye,17,11,18,41,54,0,0,0,3,306,23.5
477,ParrisCampbell,IND,61,2,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,63,31.5
478,TerryMcLaurin,WAS,65,62,61,64,54,70,58,bye,53,86,57,62,68,58,78,0,51,947,63.1
479,TravisFulgham,PHI,0,0,0,37,46,58,78,59,bye,59,65,37,25,11,26,22,29,552,42.5
480,KeelanDoss,LV,0,0,0,3,0,bye,0,0,0,0,0,0,0,0,0,0,0,3,3.0
481,MecoleHardman,KC,20,50,29,0,51,29,22,45,42,bye,17,24,21,19,32,41,32,474,31.6
482,LilJordanHumphrey,NO,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,27,16,23,66,22.0
483,JakobiMeyers,NE,8,8,7,0,bye,0,41,64,80,57,68,50,56,59,53,50,65,666,47.6
484,PrestonWilliams,MIA,56,61,35,43,40,40,bye,44,17,0,0,0,0,0,0,0,0,336,42.0
485,DiontaeJohnson,PIT,55,54,19,bye,6,0,59,41,59,63,60,65,57,28,53,56,58,733,48.9
486,KeeSeanJohnson,ARI,0,0,46,0,5,0,0,bye,0,0,0,9,45,19,21,20,49,214,26.8
487,StanleyMorgan,CIN,0,0,0,0,0,0,0,0,bye,0,0,0,0,3,3,10,2,18,3.0
488,ChaseClaypool,PIT,19,24,61,bye,52,51,51,41,56,44,47,45,31,38,43,54,35,692,43.3
489,TylerJohnson,TB,0,0,21,25,56,16,29,35,6,7,7,5,bye,3,11,25,18,264,18.9
490,BryanEdwards,LV,48,49,24,0,0,bye,0,0,1,20,9,19,15,20,24,12,19,260,21.7
491,MilesBoykin,BAL,40,48,46,31,36,34,bye,33,23,19,15,17,48,42,35,42,37,546,34.1
492,AshtonDulin,IND,0,6,12,18,7,6,bye,9,0,0,0,0,8,11,4,8,16,105,8.1
493,JuwannWinfree,GB,0,0,0,0,bye,0,0,0,0,7,0,0,0,1,0,0,0,8,4.0
494,DariusSlayton,NYG,58,58,51,66,64,40,55,68,65,45,bye,56,51,47,47,55,51,877,54.8
495,OlabisiJohnson,MIN,33,42,5,11,8,13,bye,2,8,2,4,58,8,19,9,11,8,241,15.1
496,ScottMiller,TB,43,42,29,40,45,23,43,53,19,9,15,10,bye,5,13,23,28,440,27.5
497,TrentonIrwin,CIN,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,5,0,5,5.0
498,PennyHart,SEA,1,0,2,7,0,bye,0,0,0,3,5,8,4,27,0,2,3,62,4.8
499,JeffSmith,NYJ,0,0,0,72,68,60,12,48,2,bye,7,3,0,33,0,0,12,317,26.4
500,TyronJohnson,LAC,0,0,0,8,5,bye,11,0,3,13,11,18,15,54,39,44,43,264,22.0
501,MalikTaylor,GB,1,15,4,45,bye,32,10,13,26,8,0,2,5,0,1,4,0,166,11.1
502,OlamideZaccheaus,ATL,11,16,54,53,63,14,11,9,52,bye,13,12,0,0,0,0,0,308,28.0
503,DeonteHarris,NO,7,31,22,14,0,bye,20,39,8,21,7,0,0,0,0,0,0,169,18.8
504,AlexBachman,NYG,0,0,0,0,0,0,1,0,0,0,bye,0,0,0,0,0,0,1,1.0
505,NsimbaWebster,LAR,0,0,0,0,2,0,0,0,bye,2,0,0,1,1,0,0,0,6,0.4
