,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,AirYards,Ctch%,Y/R,Lng,Y/Tgt,R/G,Y/G,Fmb,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
170,DurhamSmythe,MIA,25,TE,15,13,29,26,208,2,13.0,86,3.3,122,4.7,3.9,2,13.0,1,3.4,0.0,119.5,113.1,89.7%,8.0,19.0,7.2,1.7,13.9,0.0,MIA,14.0,36.0,42.0,29,0,19,bye,32,25,39,13,30.0,41,36.0,41.0,30.0,23.0,450.0,30.0
171,RexBurkhead,NWE,30,,10,0,33,25,192,3,11.0,-9,-0.4,201,8.0,0.9,2,12.5,0,0.0,1.0,107.1,29.7,75.8%,7.7,24.0,5.8,2.5,19.2,0.0,NE,19.0,51.0,32.0,0,bye,18,25,32,34,20,12,0.0,0,0.0,0.0,0.0,0.0,243.0,27.0
172,KenyanDrake,ARI,26,RB,15,13,31,25,137,0,5.0,-28,-1.1,165,6.6,-1.0,1,25.0,2,6.5,0.0,85.1,-31.0,80.6%,5.5,18.0,4.4,1.7,9.1,3.0,ARI,58.0,50.0,44.0,37,50,42,34,bye,0,38,33,41.0,29,44.0,34.0,52.0,29.0,615.0,41.0
173,ToddGurley,ATL,26,RB,15,15,35,25,164,0,7.0,41,1.6,123,4.9,1.5,3,8.3,4,11.4,0.0,81.1,52.5,71.4%,6.6,26.0,4.7,1.7,10.9,2.0,ATL,37.0,48.0,35.0,38,36,46,52,36,44,bye,23,0.0,22,19.0,16.0,27.0,28.0,507.0,33.8
174,BrianHill,ATL,25,rb,16,1,30,25,199,0,7.0,37,1.5,162,6.5,1.3,4,6.3,3,10.0,0.0,94.3,39.0,83.3%,8.0,26.0,6.6,1.6,12.4,2.0,ATL,21.0,15.0,24.0,16,20,21,17,25,19,bye,26,39.0,11,9.0,15.0,19.0,31.0,328.0,20.5
175,JacobHollister,SEA,27,te,16,5,40,25,209,3,14.0,129,5.2,80,3.2,5.9,0,,2,5.0,1.0,90.5,236.0,62.5%,8.4,20.0,5.2,1.6,13.1,0.0,SEA,11.0,9.0,12.0,15,3,bye,23,26,31,6,13,37.0,39,37.0,40.0,33.0,41.0,376.0,23.5
176,BostonScott,PHI,25,rb,16,4,36,25,212,1,8.0,31,1.2,181,7.2,2.6,1,25.0,0,0.0,0.0,93.7,93.6,69.4%,8.5,18.0,5.9,1.6,13.3,2.0,PHI,38.0,13.0,13.0,9,7,35,55,42,bye,18,27,26.0,16,15.0,15.0,8.0,46.0,383.0,23.9
177,HarrisonBryant,CLE,22,te,15,9,38,24,238,3,14.0,121,5.0,117,4.9,7.7,2,12.0,3,7.9,2.0,85.2,292.6,63.2%,9.9,35.0,6.3,1.6,15.9,2.0,CLE,31.0,30.0,40.0,53,29,21,40,39,bye,36,39,42.0,39,55.0,30.0,67.0,0.0,591.0,39.4
178,WillDissly,SEA,24,TE,16,12,29,24,251,2,12.0,82,3.4,169,7.0,4.8,0,,1,3.4,1.0,111.4,139.2,82.8%,10.5,28.0,8.7,1.5,15.7,0.0,SEA,26.0,31.0,31.0,28,20,bye,49,43,21,24,43,48.0,39,36.0,37.0,35.0,49.0,560.0,35.0
179,DawsonKnox,BUF,24,te,12,7,44,24,288,3,14.0,128,5.3,160,6.7,8.2,0,,4,9.1,1.0,88.1,360.8,54.5%,12.0,36.0,6.5,2.0,24.0,2.0,BUF,57.0,22.0,0.0,30,25,0,0,0,25,51,bye,38.0,49,60.0,40.0,46.0,46.0,489.0,40.8
180,GregOlsen,SEA,35,te,11,8,37,24,239,1,16.0,190,7.9,49,2.0,7.8,0,,2,5.4,2.0,69.5,288.6,64.9%,10.0,22.0,6.5,2.2,21.7,0.0,SEA,41.0,45.0,48.0,35,45,bye,52,37,26,48,40,0.0,0,0.0,0.0,12.0,0.0,429.0,39.0
181,RichardRodgers,PHI,28,te,14,4,31,24,345,2,16.0,250,10.4,95,4.0,9.8,1,24.0,0,0.0,0.0,134.5,303.8,77.4%,14.4,33.0,11.1,1.7,24.6,0.0,PHI,2.0,0.0,33.0,22,19,43,67,16,bye,21,22,22.0,3,1.0,0.0,0.0,0.0,271.0,19.4
182,OdellBeckham,CLE,28,wr,7,7,43,23,319,3,17.0,273,11.9,46,2.0,13.6,2,11.5,1,2.3,1.0,91.1,584.8,53.5%,13.9,43.0,7.4,3.3,45.6,0.0,CLE,56.0,39.0,51.0,58,63,48,2,0,bye,0,0,0.0,0,0.0,0.0,0.0,0.0,317.0,45.3
183,MalcolmBrown,LAR,27,,16,0,33,23,162,0,9.0,-16,-0.7,178,7.7,-0.3,1,23.0,3,9.1,0.0,80.6,-9.9,69.7%,7.0,30.0,4.9,1.4,10.1,1.0,LAR,44.0,37.0,34.0,35,26,27,0,57,bye,29,27,25.0,13,6.0,16.0,44.0,23.0,443.0,29.5
184,JackDoyle,IND,30,TE,14,12,33,23,251,3,13.0,160,7.0,91,4.0,6.9,1,23.0,0,0.0,0.0,122.2,227.7,69.7%,10.9,28.0,7.6,1.6,17.9,1.0,IND,57.0,0.0,32.0,45,34,39,bye,45,22,0,45,22.0,38,42.0,42.0,38.0,43.0,544.0,38.9
185,DaeSeanHamilton,DEN,25,wr,16,2,44,23,293,2,16.0,198,8.6,95,4.1,13.4,0,,2,4.5,3.0,60.1,589.6,52.3%,12.7,40.0,6.7,1.4,18.3,1.0,DEN,47.0,34.0,12.0,57,bye,38,27,61,27,31,15,18.0,12,13.0,11.0,61.0,70.0,534.0,33.4
186,AdamHumphries,TEN,27,,7,1,35,23,228,2,11.0,183,8.0,45,2.0,9.6,0,,1,2.9,1.0,91.1,336.0,65.7%,9.9,23.0,6.5,3.3,32.6,0.0,TEN,44.0,34.0,39.0,bye,0,41,31,12,0,0,0,0.0,26,0.0,0.0,0.0,0.0,227.0,32.4
