,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,AirYards,Ctch%,Y/R,Lng,Y/Tgt,R/G,Y/G,Fmb,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
97,TylerHigbee,LAR,27,TE,15,15,60,44,521,5,26.0,283,6.4,238,5.4,7.7,4,11.0,3,5.0,0.0,127.2,462.0,73.3%,11.8,44.0,8.7,2.9,34.7,0.0,LAR,65.0,59.0,50.0,48,56,45,0,57,bye,59,52,38.0,69,55.0,49.0,52.0,60.0,814.0,54.3
99,GeraldEverett,LAR,26,te,16,7,62,41,417,1,24.0,174,4.2,243,5.9,6.2,6,6.8,7,11.3,1.0,83.9,384.4,66.1%,10.2,40.0,6.7,2.6,26.1,1.0,LAR,24.0,30.0,28.0,33,30,30,0,52,bye,43,41,29.0,60,53.0,27.0,52.0,49.0,581.0,38.7
102,JonnuSmith,TEN,25,TE,15,14,65,41,448,8,25.0,210,5.1,238,5.8,5.5,2,20.5,3,4.6,2.0,110.1,357.5,63.1%,10.9,63.0,6.9,2.7,29.9,0.0,TEN,59.0,54.0,66.0,bye,57,29,40,50,52,47,52,54.0,0,41.0,63.0,40.0,41.0,745.0,49.7
105,DrewSample,CIN,24,TE,16,13,53,40,349,1,16.0,151,3.8,198,5.0,4.2,5,8.0,3,5.7,1.0,90.8,222.6,75.5%,8.7,23.0,6.6,2.5,21.8,1.0,CIN,24.0,54.0,64.0,64,63,55,73,62,bye,57,57,38.0,45,64.0,51.0,66.0,31.0,868.0,54.3
107,AnthonyFirkser,TEN,25,te,16,1,53,39,387,1,26.0,244,6.3,143,3.7,7.0,4,9.8,1,1.9,0.0,100.1,371.0,73.6%,9.9,45.0,7.3,2.4,24.2,0.0,TEN,32.0,14.0,19.0,bye,23,41,15,26,27,22,28,20.0,30,16.0,17.0,8.0,10.0,348.0,21.8
112,JordanAkins,HOU,28,te,13,5,49,37,403,1,20.0,231,6.2,172,4.6,7.5,3,12.3,3,6.1,0.0,106.1,367.5,75.5%,10.9,26.0,8.2,2.8,31.0,0.0,HOU,48.0,49.0,32.0,19,0,0,0,bye,22,24,31,26.0,45,36.0,40.0,17.0,16.0,405.0,31.2
115,JaredCook,NOR,33,te,15,5,60,37,504,7,27.0,380,10.3,124,3.4,11.5,2,18.5,2,3.3,1.0,120.4,690.0,61.7%,13.6,46.0,8.4,2.5,33.6,1.0,NO,44.0,39.0,21.0,0,41,bye,34,40,26,21,25,19.0,28,36.0,32.0,40.0,20.0,466.0,31.1
119,TylerEifert,JAX,30,te,15,4,60,36,349,2,22.0,236,6.6,113,3.1,8.2,0,,0,0.0,4.0,59.7,492.0,60.0%,9.7,28.0,5.8,2.4,23.3,0.0,JAC,29.0,45.0,40.0,46,46,5,0,bye,38,40,24,39.0,51,45.0,37.0,28.0,36.0,549.0,36.6
120,ZachErtz,PHI,30,TE,11,11,72,36,335,1,16.0,247,6.9,88,2.4,7.4,0,,5,6.9,3.0,50.4,532.8,50.0%,9.3,42.0,4.7,3.3,30.5,0.0,PHI,59.0,67.0,84.0,59,56,48,0,0,bye,0,0,0.0,27,50.0,63.0,62.0,61.0,636.0,57.8
143,MoAlie-Cox,IND,27,te,15,6,39,31,394,2,19.0,212,6.8,182,5.9,6.8,0,,1,2.6,2.0,104.5,265.2,79.5%,12.7,45.0,10.1,2.1,26.3,1.0,IND,30.0,49.0,35.0,33,21,0,bye,32,35,46,43,38.0,44,20.0,25.0,23.0,29.0,503.0,33.5
144,DanArnold,ARI,25,te,16,5,45,31,438,4,24.0,265,8.5,173,5.6,12.6,0,,1,2.2,1.0,120.4,567.0,68.9%,14.1,59.0,9.7,1.9,27.4,2.0,ARI,45.0,56.0,31.0,31,27,26,21,bye,18,35,26,26.0,9,24.0,26.0,36.0,32.0,469.0,29.3
145,ChrisHerndon,NYJ,24,TE,16,13,45,31,287,3,17.0,159,5.1,128,4.1,6.8,1,31.0,4,8.9,0.0,108.3,306.0,68.9%,9.3,26.0,6.4,1.9,17.9,2.0,NYJ,40.0,48.0,51.0,54,29,45,31,40,30,bye,36,45.0,41,34.0,43.0,60.0,47.0,674.0,42.1
151,IrvSmith,MIN,22,te,13,7,43,30,365,5,22.0,239,8.0,126,4.2,8.0,2,15.0,1,2.3,0.0,134.4,344.0,69.8%,12.2,36.0,8.5,2.3,28.1,0.0,MIN,31.0,35.0,36.0,41,59,44,bye,41,22,0,33,0.0,0,28.0,56.0,56.0,63.0,545.0,41.9
155,CameronBrate,TAM,29,te,16,1,34,28,282,2,17.0,211,7.5,71,2.5,8.6,0,,0,0.0,1.0,108.6,292.4,82.4%,10.1,25.0,8.3,1.8,17.6,0.0,TB,7.0,4.0,5.0,16,33,23,12,12,12,29,29,23.0,bye,24.0,23.0,32.0,34.0,318.0,19.9
156,TreyBurton,IND,29,te,13,4,47,28,250,3,14.0,163,5.8,87,3.1,7.5,1,28.0,4,8.5,1.0,86.3,352.5,59.6%,8.9,20.0,5.3,2.2,19.2,0.0,IND,0.0,0.0,0.0,36,25,35,bye,39,29,37,24,27.0,25,25.0,19.0,34.0,20.0,375.0,28.8
161,ColeKmet,CHI,21,te,16,9,44,28,243,2,12.0,107,3.8,136,4.9,6.5,2,14.0,2,4.5,1.0,83.8,286.0,63.6%,8.7,38.0,5.5,1.8,15.2,1.0,CHI,21.0,22.0,26.0,15,21,23,0,30,36,35,bye,54.0,54,51.0,64.0,65.0,67.0,584.0,38.9
162,JamesOShaughnessy,JAX,28,TE,15,13,38,28,262,0,12.0,168,6.0,94,3.4,7.2,1,28.0,0,0.0,1.0,81.3,273.6,73.7%,9.4,26.0,6.9,1.9,17.5,0.0,JAC,21.0,35.0,27.0,35,33,26,44,bye,33,25,0,24.0,33,27.0,25.0,26.0,31.0,445.0,29.7
