,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,AirYards,Ctch%,Y/R,Lng,Y/Tgt,R/G,Y/G,Fmb,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
20,ColeBeasley,BUF,31,wr,15,10,107,82,967,4,53.0,612,7.5,355,4.3,7.8,1,82.0,2,1.9,2.0,108.3,834.6,76.6%,11.8,35.0,9.0,5.5,64.5,0.0,BUF,56.0,41.0,38.0,19,44,34,60,36,46,58,bye,53.0,55,61.0,45.0,35.0,0.0,681.0,45.4
21,BrandinCooks,HOU,27,WR,15,15,119,81,1150,6,51.0,800,9.9,350,4.3,11.8,3,27.0,2,1.7,4.0,101.9,1404.2,68.1%,14.2,57.0,9.7,5.4,76.7,0.0,HOU,31.0,53.0,41.0,61,48,62,55,bye,59,55,57,49.0,53,0.0,68.0,50.0,60.0,802.0,53.5
23,TylerBoyd,CIN,26,wr,15,8,110,79,841,4,43.0,491,6.2,350,4.4,8.5,1,79.0,2,1.8,4.0,90.8,935.0,71.8%,10.6,72.0,7.6,5.3,56.1,1.0,CIN,55.0,78.0,54.0,58,46,57,60,55,bye,52,56,40.0,24,59.0,11.0,0.0,41.0,746.0,49.7
24,CurtisSamuel,CAR,24,wr,15,5,97,77,851,3,39.0,531,6.9,320,4.2,7.3,4,19.3,5,5.2,1.0,109.2,708.1,79.4%,11.1,44.0,8.8,5.1,56.7,1.0,CAR,51.0,51.0,33.0,36,48,0,22,41,60,34,48,42.0,bye,53.0,58.0,38.0,44.0,659.0,43.9
25,MarvinJones,DET,30,WR,16,16,115,76,978,9,52.0,782,10.3,196,2.6,12.7,5,15.2,6,5.2,4.0,104.2,1460.5,66.1%,12.9,43.0,8.5,4.8,61.1,0.0,DET,71.0,53.0,60.0,54,bye,40,55,60,71,51,50,68.0,64,59.0,58.0,50.0,53.0,917.0,57.3
26,CeeDeeLamb,DAL,21,WR,16,14,111,74,935,5,46.0,624,8.4,311,4.2,9.3,3,24.7,8,7.2,2.0,100.2,1032.3,66.7%,12.6,52.0,8.4,4.6,58.4,2.0,DAL,59.0,57.0,49.0,62,36,60,31,37,39,bye,44,42.0,48,26.0,33.0,36.0,62.0,721.0,45.1
27,AdamThielen,MIN,30,WR,15,15,108,74,925,14,52.0,682,9.2,243,3.3,11.5,2,37.0,7,6.5,4.0,119.0,1242.0,68.5%,12.5,51.0,8.6,4.9,61.7,0.0,MIN,50.0,48.0,61.0,59,81,52,bye,47,50,72,57,0.0,83,71.0,64.0,56.0,76.0,927.0,61.8
28,RussellGage,ATL,24,wr,16,8,109,72,786,4,50.0,505,7.0,281,3.9,8.5,4,18.0,7,6.4,1.0,95.6,926.5,66.1%,10.9,35.0,7.2,4.5,49.1,0.0,ATL,55.0,62.0,12.0,47,40,51,24,39,39,bye,49,69.0,52,41.0,59.0,62.0,61.0,762.0,47.6
29,JarvisLandry,CLE,28,WR,15,14,101,72,840,3,46.0,499,6.9,341,4.7,8.2,4,18.0,6,5.9,1.0,101.9,828.2,71.3%,11.7,32.0,8.3,4.8,56.0,2.0,CLE,52.0,35.0,45.0,57,56,44,40,38,bye,38,38,41.0,48,76.0,45.0,0.0,46.0,699.0,46.6
31,AJBrown,TEN,23,WR,14,12,106,70,1075,11,55.0,643,9.2,432,6.2,10.9,13,5.4,5,4.7,2.0,126.1,1155.4,66.0%,15.4,73.0,10.1,5.0,76.8,2.0,TEN,66.0,0.0,0.0,bye,47,63,53,59,45,49,57,58.0,63,37.0,57.0,42.0,64.0,760.0,54.3
32,MikeEvans,TAM,27,WR,16,16,109,70,1006,13,55.0,741,10.6,265,3.8,12.1,2,35.0,4,3.7,2.0,126.0,1318.9,64.2%,14.4,50.0,9.2,4.4,62.9,0.0,TB,65.0,53.0,61.0,54,60,50,62,63,43,64,61,53.0,bye,39.0,55.0,62.0,11.0,856.0,53.5
33,TeeHiggins,CIN,21,WR,16,14,108,67,908,6,52.0,598,8.9,310,4.6,11.5,5,13.4,8,7.4,1.0,103.5,1242.0,62.0%,13.6,67.0,8.4,4.2,56.8,1.0,CIN,15.0,60.0,57.0,43,54,59,63,57,bye,55,62,45.0,47,65.0,56.0,64.0,3.0,805.0,50.3
35,DJMoore,CAR,23,WR,15,14,118,66,1193,4,53.0,811,12.3,382,5.8,13.2,6,11.0,7,5.9,9.0,70.3,1557.6,55.9%,18.1,74.0,10.1,4.4,79.5,0.0,CAR,58.0,65.0,45.0,56,51,64,42,48,81,43,61,59.0,bye,0.0,56.0,55.0,52.0,836.0,55.7
36,SterlingShepard,NYG,27,WR,12,12,90,66,656,3,37.0,452,6.8,204,3.1,8.3,2,33.0,1,1.1,1.0,100.0,747.0,73.3%,9.9,29.0,7.3,5.5,54.7,0.0,NYG,53.0,15.0,0.0,0,0,0,46,52,60,58,bye,63.0,27,39.0,38.0,61.0,49.0,561.0,46.8
37,CoreyDavis,TEN,25,WR,14,12,92,65,984,5,49.0,693,10.7,291,4.5,11.7,3,21.7,3,3.3,0.0,123.6,1076.4,70.7%,15.1,75.0,10.7,4.6,70.3,1.0,TEN,66.0,50.0,55.0,bye,0,0,52,49,43,40,52,56.0,57,42.0,53.0,45.0,59.0,719.0,51.4
38,ChrisGodwin,TAM,24,WR,12,12,84,65,840,7,43.0,560,8.6,280,4.3,10.2,2,32.5,3,3.6,1.0,131.1,856.8,77.4%,12.9,47.0,10.0,5.4,70.0,1.0,TB,66.0,0.0,55.0,0,0,40,59,0,47,72,68,54.0,bye,44.0,60.0,51.0,59.0,675.0,56.3
41,DeVanteParker,MIA,27,WR,14,11,103,63,793,4,45.0,620,9.8,173,2.7,9.7,6,10.5,6,5.8,2.0,90.0,999.1,61.2%,12.6,31.0,7.7,4.5,56.6,1.0,MIA,23.0,66.0,56.0,57,53,46,bye,29,55,53,63,67.0,55,27.0,0.0,0.0,76.0,726.0,51.9
43,ChaseClaypool,PIT,22,wr,16,6,109,62,873,9,41.0,544,8.8,329,5.3,13.2,3,20.7,6,5.5,0.0,110.4,1438.8,56.9%,14.1,84.0,8.0,3.9,54.6,3.0,PIT,19.0,24.0,61.0,bye,52,51,51,41,56,44,47,45.0,31,38.0,43.0,54.0,35.0,692.0,43.3
45,DarnellMooney,CHI,23,wr,16,9,98,61,631,4,33.0,377,6.2,254,4.2,11.5,8,7.6,1,1.0,2.0,85.9,1127.0,62.2%,10.3,53.0,6.4,3.8,39.4,1.0,CHI,22.0,39.0,51.0,46,41,44,0,65,67,46,bye,58.0,56,45.0,53.0,53.0,45.0,731.0,48.7
46,EmmanuelSanders,NOR,33,wr,14,5,82,61,726,5,33.0,556,9.1,170,2.8,8.8,3,20.3,3,3.7,2.0,111.1,721.6,74.4%,11.9,51.0,8.9,4.4,51.9,1.0,NO,33.0,47.0,48.0,51,45,bye,0,0,22,34,39,20.0,49,53.0,39.0,38.0,41.0,559.0,39.9
47,BrandonAiyuk,SFO,22,WR,12,11,96,60,748,5,42.0,459,7.7,289,4.8,9.4,7,8.6,5,5.2,4.0,86.6,902.4,62.5%,12.5,49.0,7.8,5.0,62.3,0.0,SF,0.0,44.0,56.0,64,62,62,50,63,0,68,bye,0.0,53,74.0,80.0,52.0,0.0,728.0,60.7
49,JamisonCrowder,NYJ,27,wr,12,7,89,59,699,6,32.0,372,6.3,327,5.5,7.6,2,29.5,3,3.4,3.0,98.5,676.4,66.3%,11.8,69.0,7.9,4.9,58.3,0.0,NYJ,48.0,0.0,0.0,64,52,63,0,0,31,bye,56,44.0,42,38.0,49.0,63.0,42.0,592.0,49.3
51,MichaelGallup,DAL,24,WR,16,15,105,59,843,5,44.0,591,10.0,252,4.3,11.8,7,8.4,6,5.7,0.0,98.2,1239.0,56.2%,14.3,55.0,8.0,3.7,52.7,0.0,DAL,69.0,62.0,70.0,67,64,72,51,69,69,bye,57,45.0,74,48.0,38.0,58.0,79.0,992.0,62.0
52,JakobiMeyers,NWE,24,wr,14,9,81,59,729,0,37.0,513,8.7,216,3.7,10.2,4,14.8,4,4.9,2.0,90.0,826.2,72.8%,12.4,35.0,9.0,4.2,52.1,1.0,NE,8.0,8.0,7.0,0,bye,0,41,64,80,57,68,50.0,56,59.0,53.0,50.0,65.0,666.0,47.6
54,MarquiseBrown,BAL,23,WR,16,14,100,58,769,8,35.0,495,8.5,274,4.7,12.9,4,14.5,6,6.0,4.0,92.5,1290.0,58.0%,13.3,70.0,7.7,3.6,48.1,0.0,BAL,37.0,44.0,44.0,43,54,62,bye,77,55,62,47,42.0,45,52.0,52.0,43.0,43.0,802.0,50.1
55,LaviskaShenault,JAX,22,WR,14,12,79,58,600,5,33.0,302,5.2,298,5.1,6.2,8,7.3,3,3.8,0.0,116.0,489.8,73.4%,10.3,36.0,7.6,4.1,42.9,0.0,JAC,32.0,43.0,45.0,37,52,28,47,bye,10,0,0,59.0,25,53.0,43.0,48.0,45.0,567.0,40.5
57,TYHilton,IND,31,WR,15,15,93,56,762,5,42.0,568,10.1,194,3.5,12.5,3,18.7,3,3.2,3.0,90.9,1162.5,60.2%,13.6,50.0,8.2,3.7,50.8,0.0,IND,59.0,42.0,31.0,54,53,59,bye,28,0,47,51,54.0,43,41.0,35.0,47.0,44.0,688.0,45.9
59,HunterRenfrow,LVR,25,wr,16,6,77,56,656,2,32.0,318,5.7,338,6.0,7.1,5,11.2,2,2.6,0.0,106.8,546.7,72.7%,11.7,53.0,8.5,3.5,41.0,2.0,LV,31.0,40.0,39.0,52,24,bye,35,15,30,34,20,41.0,52,38.0,13.0,39.0,51.0,554.0,34.6
60,KeelanCole,JAX,27,wr,16,5,88,55,642,5,34.0,468,8.5,174,3.2,10.9,2,27.5,6,6.8,1.0,98.8,959.2,62.5%,11.7,51.0,7.3,3.4,40.1,0.0,JAC,35.0,51.0,50.0,50,60,26,48,bye,47,52,47,61.0,49,61.0,43.0,40.0,45.0,765.0,47.8
62,LarryFitzgerald,ARI,37,WR,13,13,72,54,409,1,25.0,224,4.1,185,3.4,6.0,0,,1,1.4,2.0,81.3,432.0,75.0%,7.6,18.0,5.7,4.2,31.5,0.0,ARI,65.0,61.0,56.0,53,60,38,65,bye,51,66,55,0.0,0,57.0,46.0,71.0,0.0,744.0,57.2
