,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
32,RyanFitzpatrick,MIA,38,qb,9,7,183,267,2091,2072,7.8,1236,6.8,4.6,855,4.7
33,AlexSmith,WAS,36,qb,8,6,168,252,1582,1286,5.1,629,3.7,2.5,953,5.7
34,DwayneHaskins,WAS,23,qb,7,6,148,241,1439,1622,6.7,572,3.9,2.4,867,5.9
35,DakPrescott,DAL,27,qb,5,5,151,222,1856,1762,7.9,1046,6.9,4.7,810,5.4
36,MikeGlennon,JAX,31,qb,5,5,111,179,1072,1424,8.0,667,6.0,3.7,405,3.6
37,JalenHurts,PHI,22,qb,15,4,77,148,1061,1350,9.1,593,7.7,4.0,468,6.1
38,BrandonAllen,CIN,28,qb,5,5,90,142,925,940,6.6,368,4.1,2.6,557,6.2
39,JimmyGaroppolo,SFO,29,qb,6,6,94,140,1096,879,6.3,382,4.1,2.7,714,7.6
40,JoeFlacco,NYJ,35,qb,5,4,74,134,864,1422,10.6,519,7.0,3.9,345,4.7
41,TaysomHill,NOR,30,wr,16,8,88,121,928,843,7.0,556,6.3,4.6,372,4.2
42,JakeLuton,JAX,24,qb,3,3,60,110,624,865,7.9,338,5.6,3.1,286,4.8
43,CJBeathard,SFO,27,qb,6,2,66,104,787,838,8.1,443,6.7,4.3,344,5.2
44,KyleAllen,WAS,24,qb,4,4,60,87,610,523,6.0,286,4.8,3.3,324,5.4
45,ColtMcCoy,NYG,34,qb,4,2,40,66,375,590,8.9,248,6.2,3.8,127,3.2
46,JeffDriskel,DEN,27,qb,3,1,35,64,432,638,10.0,301,8.6,4.7,131,3.7
47,PhillipWalker,CAR,25,qb,4,1,32,56,368,583,10.4,227,7.1,4.1,141,4.4
48,JarrettStidham,NWE,24,,5,0,22,44,256,268,6.1,76,3.5,1.7,180,8.2
49,ChaseDaniel,DET,34,,4,0,29,43,264,275,6.4,145,5.0,3.4,119,4.1
50,BenDiNucci,DAL,24,qb,3,1,23,43,219,349,8.1,85,3.7,2.0,134,5.8
51,MasonRudolph,PIT,25,qb,5,1,25,43,324,432,10.0,222,8.9,5.2,102,4.1
52,BrettRypien,DEN,24,qb,3,1,27,40,295,346,8.7,213,7.9,5.3,82,3.0
53,GarrettGilbert,DAL,29,qb,1,1,21,38,243,348,9.2,191,9.1,5.0,52,2.5
54,ChadHenne,KAN,35,qb,3,1,28,38,248,158,4.2,48,1.7,1.3,200,7.1
55,JohnWolford,LAR,25,qb,1,1,22,38,231,358,9.4,138,6.3,3.6,93,4.2
56,RyanFinley,CIN,26,qb,5,1,17,32,164,335,10.5,93,5.5,2.9,71,4.2
57,TyrodTaylor,LAC,31,qb,2,1,16,30,208,335,11.2,128,8.0,4.3,80,5.0
58,MarcusMariota,LVR,27,,1,0,17,28,226,273,9.8,150,8.8,5.4,76,4.5
59,BrianHoyer,NWE,35,qb,1,1,15,24,130,196,8.2,74,4.9,3.1,56,3.7
