,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,QBrec,Cmp%,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,NY/A,ANY/A,Sk%,4QC,GWD,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
57,TyrodTaylor,LAC,31,qb,2,1,16,30,208,335,11.2,128,8.0,4.3,80,5.0,1-0-0,53.3,0,0.0,0,0.0,10,37,6.9,6.9,13.0,104.0,75.4,21.3,2,1,6.47,6.47,6.3,1.0,1.0,LAC,74.0,0.0,0.0,0,0,bye,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,75.0,37.5
58,MarcusMariota,LVR,27,,1,0,17,28,226,273,9.8,150,8.8,5.4,76,4.5,,60.7,1,3.6,1,3.6,11,35,8.1,7.2,13.3,226.0,83.3,98.1,0,0,8.07,7.18,0.0,,,LV,0.0,0.0,0.0,0,0,bye,0,0,0,0,0,0.0,0,0.0,65.0,0.0,0.0,65.0,65.0
59,BrianHoyer,NWE,35,qb,1,1,15,24,130,196,8.2,74,4.9,3.1,56,3.7,0-1-0,62.5,0,0.0,1,4.2,8,25,5.4,3.5,8.7,130.0,59.4,28.2,2,18,4.31,2.58,7.7,,,,,,,,,,,,,,,,,,,,,,
60,MattBarkley,BUF,30,,5,0,11,21,197,251,12.0,142,12.9,6.8,55,5.0,,52.4,1,4.8,1,4.8,9,56,9.4,8.2,17.9,39.4,80.9,33.9,1,7,8.64,7.5,4.5,,,BUF,0.0,0.0,0.0,0,7,0,0,0,0,0,bye,1.0,0,0.0,1.0,15.0,29.0,53.0,10.6
61,TaylorHeinicke,WAS,27,,1,0,12,19,137,255,13.4,88,7.3,4.6,49,4.1,,63.2,1,5.3,0,0.0,6,29,7.2,8.3,11.4,137.0,102.3,48.3,1,7,6.5,7.5,5.0,,,WAS,0.0,0.0,0.0,0,0,0,0,bye,0,0,0,0.0,0,0.0,0.0,25.0,0.0,25.0,25.0
62,BlaineGabbert,TAM,31,,4,0,9,16,143,108,6.8,63,7.0,3.9,80,8.9,,56.3,2,12.5,0,0.0,5,35,8.9,11.4,15.9,35.8,125.8,60.7,1,7,8.0,10.35,5.9,,,TB,0.0,0.0,0.0,0,0,9,0,0,1,5,0,0.0,bye,0.0,0.0,34.0,0.0,49.0,12.3
63,ChrisStreveler,ARI,25,,5,0,11,16,105,106,6.6,7,0.6,0.4,98,8.9,,68.8,1,6.3,1,6.3,5,19,6.6,5.0,9.5,21.0,81.5,36.4,2,10,5.28,3.89,11.1,,,ARI,1.0,1.0,0.0,0,0,0,0,bye,0,0,0,0.0,0,0.0,0.0,0.0,28.0,30.0,7.5
64,RobertGriffin,BAL,30,,4,1,8,14,42,123,8.8,8,1.0,0.6,34,4.3,0-1-0,57.1,0,0.0,2,14.3,1,9,3.0,-3.4,5.3,10.5,22.6,25.6,3,20,1.29,-4.0,17.6,,,BAL,6.0,0.0,0.0,10,1,0,bye,0,0,0,0,44.0,0,0.0,0.0,0.0,0.0,61.0,15.3
65,NateSudfeld,PHI,27,,1,0,5,12,32,118,9.8,14,2.8,1.2,18,3.6,,41.7,0,0.0,1,8.3,1,10,2.7,-1.1,6.4,32.0,14.6,2.2,2,16,1.14,-2.07,14.3,,,PHI,0.0,0.0,0.0,0,0,0,0,0,bye,0,0,0.0,0,0.0,0.0,0.0,18.0,18.0,18.0
66,JameisWinston,NOR,26,,4,0,7,11,75,51,4.6,14,2.0,1.3,61,8.7,,63.6,0,0.0,0,0.0,5,19,6.8,6.8,10.7,18.8,83.5,15.6,2,11,4.92,4.92,15.4,,,NO,0.0,0.0,0.0,0,0,bye,0,0,10,34,0,3.0,0,0.0,0.0,0.0,7.0,54.0,13.5
67,DavidBlough,DET,25,,1,0,6,10,49,82,8.2,22,3.7,2.2,27,4.5,,60.0,0,0.0,1,10.0,1,20,4.9,0.4,8.2,49.0,32.9,14.7,1,10,3.55,-0.55,9.1,,,DET,0.0,0.0,0.0,0,bye,0,0,0,0,0,0,0.0,0,0.0,0.0,15.0,0.0,15.0,15.0
68,CaseKeenum,CLE,32,,2,0,5,10,46,27,2.7,18,3.6,1.8,28,5.6,,50.0,0,0.0,0,0.0,2,24,4.6,4.6,9.2,23.0,62.9,42.0,0,0,4.6,4.6,0.0,,,CLE,0.0,0.0,0.0,0,0,15,0,0,bye,0,0,0.0,0,0.0,0.0,0.0,0.0,15.0,7.5
