,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,QBrec,Cmp%,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,NY/A,ANY/A,Sk%,4QC,GWD,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
69,TraceMcSorley,BAL,25,,2,0,3,10,90,89,8.9,37,12.3,3.7,53,17.7,,30.0,1,10.0,0,0.0,2,70,9.0,11.0,30.0,45.0,97.9,35.6,0,0,9.0,11.0,0.0,,,BAL,0.0,0.0,0.0,0,0,0,bye,0,0,0,0,9.0,0,11.0,0.0,0.0,0.0,20.0,10.0
70,KendallHinton,DEN,23,,1,0,1,9,13,134,14.9,-3,-3.0,-0.3,16,16.0,,11.1,0,0.0,2,22.2,1,13,1.4,-8.6,13.0,13.0,0.0,0.1,1,1,1.2,-7.8,10.0,,,DEN,0.0,0.0,0.0,0,bye,0,0,0,0,0,0,24.0,0,0.0,0.0,0.0,0.0,24.0,24.0
71,JacobyBrissett,IND,28,,11,0,2,8,17,65,8.1,-1,-0.5,-0.1,18,9.0,,25.0,0,0.0,0,0.0,1,13,2.1,2.1,8.5,1.5,39.6,65.5,2,15,0.2,0.2,20.0,,,IND,1.0,0.0,13.0,0,0,0,bye,0,1,1,7,10.0,3,3.0,3.0,1.0,4.0,47.0,4.3
72,TylerBray,CHI,29,,1,0,1,5,18,43,8.6,5,5.0,1.0,13,13.0,,20.0,0,0.0,0,0.0,1,18,3.6,3.6,18.0,18.0,42.1,10.0,0,0,3.6,3.6,0.0,,,CHI,0.0,0.0,0.0,0,0,0,0,0,0,5,bye,0.0,0,0.0,0.0,0.0,0.0,5.0,5.0
73,JoshuaDobbs,PIT,25,,1,0,4,5,2,0,0.0,-11,-2.8,-2.2,13,3.3,,80.0,0,0.0,0,0.0,0,3,0.4,0.4,0.5,2.0,79.2,56.4,0,0,0.4,0.4,0.0,,,PIT,0.0,0.0,0.0,bye,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,9.0,9.0,9.0
74,TylerHuntley,BAL,22,,2,0,3,5,15,62,12.4,5,1.7,1.0,10,3.3,,60.0,0,0.0,0,0.0,0,8,3.0,3.0,5.0,7.5,64.6,2.0,0,0,3.0,3.0,0.0,,,BAL,0.0,0.0,0.0,0,0,0,bye,0,0,0,0,0.0,0,0.0,11.0,0.0,17.0,28.0,14.0
75,NathanPeterman,LVR,26,,1,0,3,5,25,9,1.8,4,1.3,0.8,21,7.0,,60.0,0,0.0,0,0.0,1,12,5.0,5.0,8.3,25.0,72.9,30.4,2,16,1.29,1.29,28.6,,,LV,0.0,0.0,0.0,0,0,bye,0,0,0,0,0,11.0,0,0.0,0.0,0.0,0.0,11.0,11.0
76,GenoSmith,SEA,30,,1,0,4,5,33,25,5.0,19,4.8,3.8,14,3.5,,80.0,0,0.0,0,0.0,3,14,6.6,6.6,8.3,33.0,94.2,5.2,1,3,5.0,5.0,16.7,,,SEA,0.0,0.0,0.0,0,0,bye,0,0,0,0,0,0.0,0,18.0,0.0,0.0,0.0,18.0,18.0
77,JarvisLandry,CLE,28,WR,15,14,4,4,74,58,14.5,58,14.5,14.5,16,4.0,,100.0,1,25.0,0,0.0,4,37,18.5,23.5,18.5,4.9,158.3,100.0,0,0,18.5,23.5,0.0,,,CLE,52.0,35.0,45.0,57,56,44,40,38,bye,38,38,41.0,48,76.0,45.0,0.0,46.0,699.0,46.6
78,LoganWoodside,TEN,25,,6,0,1,3,7,17,5.7,7,7.0,2.3,0,0.0,,33.3,0,0.0,0,0.0,1,7,2.3,2.3,7.0,1.2,42.4,71.7,0,0,2.33,2.33,0.0,,,TEN,0.0,0.0,0.0,bye,0,0,0,0,0,6,0,3.0,0,6.0,3.0,3.0,0.0,21.0,3.5
79,LynnBowden,MIA,23,rb,10,4,1,2,32,17,8.5,-2,-2.0,-1.0,34,34.0,,50.0,0,0.0,0,0.0,1,32,16.0,16.0,32.0,3.2,95.8,40.0,0,0,16.0,16.0,0.0,,,MIA,0.0,4.0,0.0,4,10,5,bye,0,0,0,0,22.0,31,59.0,65.0,58.0,78.0,336.0,33.6
80,TylerBoyd,CIN,26,wr,15,8,1,2,16,2,1.0,-6,-6.0,-3.0,22,22.0,,50.0,0,0.0,0,0.0,1,16,8.0,8.0,16.0,1.1,77.1,55.7,0,0,8.0,8.0,0.0,,,CIN,55.0,78.0,54.0,58,46,57,60,55,bye,52,56,40.0,24,59.0,11.0,0.0,41.0,746.0,49.7
81,JulianEdelman,NWE,34,wr,6,1,2,2,38,-2,-1.0,-2,-1.0,-1.0,40,20.0,,100.0,0,0.0,0,0.0,2,22,19.0,19.0,19.0,6.3,118.7,98.5,0,0,19.0,19.0,0.0,,,NE,38.0,52.0,56.0,0,bye,43,31,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,220.0,44.0
82,RussellGage,ATL,24,wr,16,8,1,2,39,75,37.5,37,37.0,18.5,2,2.0,,50.0,1,50.0,0,0.0,1,39,19.5,29.5,39.0,2.4,135.4,100.0,0,0,19.5,29.5,0.0,,,ATL,55.0,62.0,12.0,47,40,51,24,39,39,bye,49,69.0,52,41.0,59.0,62.0,61.0,762.0,47.6
83,TravisKelce,KAN,31,TE,15,15,1,2,4,-2,-1.0,-3,-3.0,-1.5,7,7.0,,50.0,0,0.0,0,0.0,1,4,2.0,2.0,4.0,0.3,56.2,62.7,0,0,2.0,2.0,0.0,,,KC,61.0,74.0,61.0,0,65,65,40,50,57,bye,69,68.0,57,56.0,78.0,56.0,0.0,857.0,61.2
84,JakobiMeyers,NWE,24,wr,14,9,2,2,43,37,18.5,37,18.5,18.5,6,3.0,,100.0,2,100.0,0,0.0,2,24,21.5,41.5,21.5,3.1,158.3,100.0,0,0,21.5,41.5,0.0,,,NE,8.0,8.0,7.0,0,bye,0,41,64,80,57,68,50.0,56,59.0,53.0,50.0,65.0,666.0,47.6
85,GoldenTate,NYG,32,,12,4,1,2,18,-9,-4.5,-5,-5.0,-2.5,23,23.0,,50.0,0,0.0,0,0.0,1,18,9.0,9.0,18.0,1.5,81.2,6.4,0,0,9.0,9.0,0.0,,,NYG,0.0,40.0,48.0,51,40,30,28,38,0,27,bye,46.0,18,28.0,30.0,0.0,0.0,424.0,35.3
86,CedrickWilson,DAL,25,,16,0,2,2,23,2,1.0,2,1.0,1.0,21,10.5,,100.0,1,50.0,0,0.0,1,12,11.5,21.5,11.5,1.4,154.2,99.5,0,0,11.5,21.5,0.0,,,DAL,3.0,4.0,24.0,18,15,25,20,19,11,bye,14,12.0,20,7.0,16.0,13.0,7.0,228.0,14.3
87,JamalAgnew,DET,25,wr,14,2,0,1,0,15,15.0,0,,0.0,0,,,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,1.3,0,0,0.0,0.0,0.0,,,DET,15.0,9.0,14.0,11,bye,12,12,7,0,0,28,25.0,16,11.0,10.0,12.0,11.0,193.0,13.8
88,KeenanAllen,LAC,28,WR,14,13,0,1,0,15,15.0,0,,0.0,0,,,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,1.9,0,0,0.0,0.0,0.0,,,LAC,70.0,81.0,75.0,50,12,bye,69,85,78,55,78,78.0,62,57.0,24.0,0.0,0.0,874.0,62.4
89,ColeBeasley,BUF,31,wr,15,10,1,1,20,20,20.0,20,20.0,20.0,0,0.0,,100.0,1,100.0,0,0.0,1,20,20.0,40.0,20.0,1.3,158.3,100.0,0,0,20.0,40.0,0.0,,,BUF,56.0,41.0,38.0,19,44,34,60,36,46,58,bye,53.0,55,61.0,45.0,35.0,0.0,681.0,45.4
90,OdellBeckham,CLE,28,wr,7,7,1,1,18,17,17.0,17,17.0,17.0,1,1.0,,100.0,0,0.0,0,0.0,1,18,18.0,18.0,18.0,2.6,118.7,99.2,0,0,18.0,18.0,0.0,,,CLE,56.0,39.0,51.0,58,63,48,2,0,bye,0,0,0.0,0,0.0,0.0,0.0,0.0,317.0,45.3
91,JosephCharlton,CAR,23,p,16,0,1,1,28,18,18.0,18,18.0,18.0,10,10.0,,100.0,0,0.0,0,0.0,1,28,28.0,28.0,28.0,1.8,118.7,99.9,1,5,11.5,11.5,50.0,,,,,,,,,,,,,,,,,,,,,,
92,RandallCobb,HOU,30,wr,10,2,0,1,0,7,7.0,0,,0.0,0,,,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,3.8,0,0,0.0,0.0,0.0,,,HOU,46.0,40.0,34.0,48,35,44,49,bye,37,32,5,0.0,0,0.0,0.0,0.0,0.0,370.0,37.0
93,JamisonCrowder,NYJ,27,wr,12,7,1,1,43,27,27.0,27,27.0,27.0,16,16.0,,100.0,1,100.0,0,0.0,1,43,43.0,63.0,43.0,3.6,158.3,100.0,0,0,43.0,63.0,0.0,,,NYJ,48.0,0.0,0.0,64,52,63,0,0,31,bye,56,44.0,42,38.0,49.0,63.0,42.0,592.0,49.3
94,RileyDixon,NYG,27,p,16,0,0,1,0,8,8.0,0,,0.0,0,,,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
95,AlexErickson,CIN,28,wr,16,2,0,1,0,21,21.0,0,,0.0,0,,,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,11.1,0,0,0.0,0.0,0.0,,,CIN,4.0,8.0,6.0,7,2,3,0,1,bye,0,5,8.0,19,8.0,28.0,62.0,37.0,198.0,12.4
96,JaquanJohnson,BUF,25,,14,0,1,1,13,10,10.0,10,10.0,10.0,3,3.0,,100.0,0,0.0,0,0.0,1,13,13.0,13.0,13.0,0.9,118.7,,0,0,13.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,
97,ChrisJones,DAL,31,,8,0,0,1,0,9,9.0,0,,0.0,0,,,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
98,ZayJones,LVR,25,wr,16,2,1,1,29,26,26.0,26,26.0,26.0,3,3.0,,100.0,0,0.0,0,0.0,1,29,29.0,29.0,29.0,1.8,118.7,100.0,0,0,29.0,29.0,0.0,,,LV,9.0,18.0,27.0,67,9,bye,10,10,5,8,5,13.0,7,16.0,53.0,6.0,26.0,289.0,18.1
99,BrettKern,TEN,34,p,13,0,0,1,0,18,18.0,0,,0.0,0,,,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
100,SamKoch,BAL,38,p,15,0,1,1,15,9,9.0,9,9.0,9.0,6,6.0,,100.0,0,0.0,0,0.0,1,15,15.0,15.0,15.0,1.0,118.7,,0,0,15.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,
101,AndyLee,ARI,38,p,16,0,1,1,26,14,14.0,14,14.0,14.0,12,12.0,,100.0,0,0.0,0,0.0,1,26,26.0,26.0,26.0,1.6,118.7,,0,0,26.0,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,
102,AJMcCarron,HOU,30,,2,0,1,1,20,18,18.0,18,18.0,18.0,2,2.0,,100.0,0,0.0,0,0.0,1,20,20.0,20.0,20.0,10.0,118.7,0.0,1,12,4.0,4.0,50.0,,,HOU,0.0,0.0,0.0,0,0,0,0,bye,0,0,0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.5
103,IsaiahMcKenzie,BUF,25,wr,16,7,1,1,12,-5,-5.0,-5,-5.0,-5.0,17,17.0,,100.0,1,100.0,0,0.0,1,12,12.0,32.0,12.0,0.8,156.2,91.0,0,0,12.0,32.0,0.0,,,BUF,16.0,7.0,17.0,22,23,7,15,6,5,9,bye,12.0,11,10.0,22.0,32.0,58.0,272.0,17.0
104,DJMoore,CAR,23,WR,15,14,0,1,0,6,6.0,0,,0.0,0,,,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,,0,0,0.0,0.0,0.0,,,CAR,58.0,65.0,45.0,56,51,64,42,48,81,43,61,59.0,bye,0.0,56.0,55.0,52.0,836.0,55.7
105,ZachPascal,IND,26,WR,16,14,0,1,0,13,13.0,0,,0.0,0,,,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,2.5,0,0,0.0,0.0,0.0,,,IND,46.0,59.0,55.0,54,51,58,bye,58,41,47,51,53.0,55,41.0,47.0,61.0,56.0,833.0,52.1
106,EastonStick,LAC,25,,1,0,1,1,4,0,0.0,0,0.0,0.0,4,4.0,,100.0,0,0.0,0,0.0,0,4,4.0,4.0,4.0,4.0,83.3,1.8,0,0,4.0,4.0,0.0,,,LAC,0.0,0.0,0.0,0,0,bye,2,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,2.0
107,LoganThomas,WAS,29,TE,16,15,1,1,28,28,28.0,28,28.0,28.0,0,0.0,,100.0,0,0.0,0,0.0,1,28,28.0,28.0,28.0,1.8,118.7,47.7,0,0,28.0,28.0,0.0,,,WAS,53.0,60.0,55.0,66,47,63,54,bye,54,87,56,67.0,72,62.0,80.0,71.0,63.0,1010.0,63.1
108,TommyTownsend,KAN,24,p,16,0,1,1,13,6,6.0,6,6.0,6.0,7,7.0,,100.0,0,0.0,0,0.0,1,13,13.0,13.0,13.0,0.8,118.7,13.9,0,0,13.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,
109,GregWard,PHI,25,wr,16,10,1,1,15,15,15.0,15,15.0,15.0,0,0.0,,100.0,0,0.0,0,0.0,1,15,15.0,15.0,15.0,0.9,118.7,0.9,0,0,15.0,15.0,0.0,,,PHI,30.0,13.0,76.0,48,41,58,76,58,bye,42,46,48.0,44,51.0,44.0,66.0,48.0,789.0,49.3
110,SammyWatkins,KAN,27,wr,10,9,0,1,0,24,24.0,0,,0.0,0,,,0.0,0,0.0,1,100.0,0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0.0,-45.0,0.0,,,KC,55.0,45.0,65.0,0,26,0,0,0,0,bye,0,57.0,48,54.0,80.0,51.0,0.0,481.0,53.4
111,IsaiahWright,WAS,23,wr,14,6,0,1,0,-3,-3.0,0,,0.0,0,,,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,3.8,0,0,0.0,0.0,0.0,,,WAS,0.0,0.0,29.0,58,42,57,0,bye,16,29,16,17.0,29,17.0,22.0,13.0,2.0,347.0,24.8
